,ticker,model,loss,se,ci_low,ci_high
0,AAPL,HAR,7.138985597275442e-09,2.9424345312492175e-09,3.0270686678621083e-09,1.4105818743244143e-08
1,AAPL,LogHAR,6.020348571524478e-09,2.5210986037318674e-09,2.482669491601543e-09,1.200484838496732e-08
2,AAPL,LevHAR,6.996396392287424e-09,2.8582403979588847e-09,2.9474822329110856e-09,1.3762222277521245e-08
3,AAPL,SHAR,7.1867234434932216e-09,2.9766726338568634e-09,3.0270706513687715e-09,1.4231487434857121e-08
4,AAPL,HARQ,7.265368017375636e-09,3.04039910691187e-09,3.0161849541003134e-09,1.4457934743635867e-08
5,AAPL,HAR-X,8.057786812224113e-09,3.1271112174436658e-09,3.436775468883733e-09,1.533157275008979e-08
6,AAPL,RR,7.629285468444944e-09,2.9991863409001914e-09,3.1913423728731476e-09,1.4626395731757237e-08
7,AAPL,LA,6.677671175256828e-09,2.8336293008019943e-09,2.682384877631147e-09,1.3367031642285298e-08
8,AAPL,EN,6.676598428851045e-09,2.8383552482776593e-09,2.6728890046594604e-09,1.337481347923265e-08
9,AAPL,P-LA,6.776507992692559e-09,3.06129762542416e-09,2.4025945467232864e-09,1.3965164728500312e-08
10,AAPL,A-LA,1.303529876572057e-08,2.3102308846519914e-09,9.738183994309959e-09,1.8485692346032515e-08
11,AAPL,BG,1.0290991183061808e-08,4.553913760365643e-09,3.783767318058791e-09,2.1004163911943173e-08
12,AAPL,RF,8.306908105882583e-09,3.2606795837051493e-09,3.458340188240984e-09,1.5829845385926965e-08
13,AAPL,GB,6.994105802999234e-09,3.082293643120898e-09,2.662727207467593e-09,1.4193303534451096e-08
14,AAPL,NN1_ensemble,6.432820973269918e-09,2.360945453002737e-09,3.0027916762654774e-09,1.1987486251810576e-08
15,AAPL,NN1_top1,6.513602435753619e-09,2.4352482967587165e-09,2.9458734313918365e-09,1.2229523856139545e-08
16,AAPL,NN2_ensemble,6.379081344189232e-09,2.4376231837180948e-09,2.807811407126058e-09,1.2090728019818428e-08
17,AAPL,NN2_top1,8.05483892468839e-09,2.273063303847224e-09,4.571406412065362e-09,1.3277844445495585e-08
18,AAPL,NN3_ensemble,6.344176207098402e-09,2.625231525320974e-09,2.531742220479473e-09,1.255934932451238e-08
19,AAPL,NN3_top1,7.480186320638305e-09,2.015647171501945e-09,4.150879941200761e-09,1.184907649058233e-08
20,AAPL,NN4_ensemble,6.293570523223275e-09,2.5450377045649743e-09,2.609653778033955e-09,1.2297067786434608e-08
21,AAPL,NN4_top1,9.890752089422474e-09,3.461610900950281e-09,5.17601254680004e-09,1.8000077372927067e-08
22,AMZN,HAR,9.387073457980405e-09,3.2172323258458228e-09,4.5244360713198355e-09,1.68137806157374e-08
23,AMZN,LogHAR,9.51917244632774e-09,3.01645226925891e-09,4.915680305388506e-09,1.6392116528080176e-08
24,AMZN,LevHAR,9.193433594309541e-09,2.936320348825088e-09,4.6015915093421324e-09,1.5847963688855922e-08
25,AMZN,SHAR,9.389464975764314e-09,3.1250618639690243e-09,4.5642317552710536e-09,1.65010591664424e-08
26,AMZN,HARQ,9.781659465414972e-09,2.9914048887935355e-09,5.161809440310912e-09,1.6625881479299653e-08
27,AMZN,HAR-X,1.0641321380608017e-08,3.141883670800432e-09,5.859724694844101e-09,1.7806826277008986e-08
28,AMZN,RR,1.1047412663737666e-08,3.2431422556314517e-09,6.127237420639378e-09,1.838829431538686e-08
29,AMZN,LA,9.368929297425419e-09,3.266844902455094e-09,4.535708620866534e-09,1.6818365992588647e-08
30,AMZN,EN,1.0771181554918252e-08,3.219436310778694e-09,5.893010554010119e-09,1.8084426533050703e-08
31,AMZN,P-LA,1.1137362455188877e-08,3.4028014290980677e-09,5.990129252439385e-09,1.8904072818731844e-08
32,AMZN,A-LA,1.2955851490510011e-08,2.882096513772041e-09,8.54838673553545e-09,1.9366016943300804e-08
33,AMZN,BG,1.3286415349079573e-08,3.4309770599722942e-09,7.536181151820363e-09,2.0777732708412342e-08
34,AMZN,RF,1.127040914960171e-08,3.1615844313003948e-09,6.138572568102137e-09,1.824821562548805e-08
35,AMZN,GB,1.0875562005990047e-08,3.2735796412087125e-09,5.522192739380074e-09,1.8108977101189556e-08
36,AMZN,NN1_ensemble,1.0088958238570987e-08,3.499897518119072e-09,4.85060219355123e-09,1.8201416666657436e-08
37,AMZN,NN1_top1,1.1948858387686402e-08,3.4551016134281637e-09,6.526325103491319e-09,1.9836321467144205e-08
38,AMZN,NN2_ensemble,9.84482399169277e-09,3.108477775280062e-09,5.049371771467455e-09,1.6931060229079115e-08
39,AMZN,NN2_top1,1.3226924948261592e-08,3.2818998588908486e-09,7.964286323454817e-09,2.0602154758725462e-08
40,AMZN,NN3_ensemble,1.0978505381119657e-08,3.3759054012457935e-09,5.693762975955974e-09,1.854616940308792e-08
41,AMZN,NN3_top1,1.3233061813832594e-08,3.5966728891212393e-09,7.242328841050439e-09,2.1106657582029182e-08
42,AMZN,NN4_ensemble,1.138756689845739e-08,3.666501819698122e-09,5.782029482277603e-09,1.966864564194133e-08
43,AMZN,NN4_top1,1.4783244050612296e-08,4.070362392292394e-09,7.993213333714726e-09,2.3545362308930802e-08
44,JPM,HAR,4.2108888145540424e-09,8.429079705756629e-10,2.6282444997566466e-09,5.901850362532233e-09
45,JPM,LogHAR,2.93002857140141e-09,5.210781549387394e-10,1.960202490778814e-09,3.995108878614892e-09
46,JPM,LevHAR,4.545931971821082e-09,9.471809936589332e-10,2.8119369203861763e-09,6.469298008659947e-09
47,JPM,SHAR,4.210789496156067e-09,6.359881310394784e-10,2.8085159821426844e-09,5.297855266628589e-09
48,JPM,HARQ,6.334536050877323e-09,1.4619930678712175e-09,3.5520130421516046e-09,9.194641376735643e-09
49,JPM,HAR-X,5.207158446299022e-09,1.0324416328442252e-09,2.9652037610760063e-09,6.968455097514959e-09
50,JPM,RR,4.9450754526868355e-09,9.444413219045236e-10,2.8612897209955145e-09,6.538685401208943e-09
