ticker,model,DM_stat,p_value,mean_diff
AAPL,LogHAR,1.0272922619376343,0.8477583131786318,3.248133281230668e-09
AAPL,LevHAR,0.11056605333236115,0.544010812837779,3.567436709897763e-10
AAPL,SHAR,-0.2662171784145149,0.39505812397415857,-2.8008731726552687e-10
AAPL,HARQ,1.223406296141958,0.8892955519465954,2.3155422235588225e-08
AAPL,HAR-X,-0.686960224092967,0.2461181735811304,-1.127858812639039e-09
AAPL,RR,-0.17567006557549092,0.43029092946477193,-3.313351392571607e-10
AAPL,LA,0.7396434921286966,0.7701717715886869,2.2302084451146744e-09
AAPL,EN,0.45751293241165647,0.6763086887257015,1.1731043381988942e-09
AAPL,P-LA,-1.0136336034540327,0.15547775799004201,-1.4904660408130735e-09
AAPL,A-LA,2.207869917790729,0.9862820030865099,7.421082302257432e-08
AAPL,BG,1.3310014197179896,0.9082832942493085,2.2144233452356094e-08
AAPL,RF,1.2997870859184666,0.9030421411642694,2.3595636491498443e-08
AAPL,GB,1.5975192438959358,0.9447975018180015,3.673420469009744e-08
AAPL,NN1_ensemble,1.9951762848048444,0.9768788237397046,5.1231078653215605e-08
AAPL,NN2_ensemble,1.9424833154410805,0.9738475236777275,6.221664438995081e-08
AAPL,NN3_ensemble,1.89433528591977,0.9707933915911612,6.376470878219825e-08
AAPL,NN4_ensemble,1.9181698323288718,0.9723404469763942,5.171054076936577e-08
AMZN,LogHAR,0.24746889498264796,0.5977068186817504,3.59322883523145e-10
AMZN,LevHAR,-0.04936907049582226,0.48031656661663386,-1.500793148886592e-10
AMZN,SHAR,0.2739618933082681,0.6079202142200606,5.110291552170349e-10
AMZN,HARQ,0.8483536046518819,0.8017975322886437,7.787401515193911e-09
AMZN,HAR-X,0.1654514037556911,0.5656921561108395,4.656709310560889e-10
AMZN,RR,-0.13582120224866864,0.44599234620881956,-3.6835896353090784e-10
AMZN,LA,-0.4799302872813209,0.3156808376017377,-5.23188101500652e-10
AMZN,EN,-0.7702204694400143,0.220657976510587,-8.998807584752991e-10
AMZN,P-LA,0.7867574256232367,0.7842128318646985,2.3281172047530186e-10
AMZN,A-LA,2.972151496194354,0.9984928507597304,6.664405382481837e-08
AMZN,BG,3.4136934419990324,0.999669204805027,2.3593046069971912e-08
AMZN,RF,2.690967580729155,0.996389820587913,1.9372872157465115e-08
AMZN,GB,3.889078019994618,0.999947016300663,4.4676242252266456e-08
AMZN,NN1_ensemble,1.1950134275546929,0.883844762948924,1.782531518647739e-08
AMZN,NN2_ensemble,1.5480643725954724,0.9390689138412511,3.5686571310536386e-08
AMZN,NN3_ensemble,1.6305147893425698,0.9483765495290359,3.610528383293989e-08
AMZN,NN4_ensemble,1.4395400521003627,0.9248749173578821,1.2009545563765739e-08
JPM,LogHAR,1.1988308624970467,0.8845885231284035,2.2099141227461755e-08
JPM,LevHAR,1.204549043739573,0.885696260733503,7.449287609954139e-09
JPM,SHAR,1.2605098690890584,0.8961385901397818,1.2879076436900407e-08
JPM,HARQ,0.13006794322481713,0.5517331074608197,1.9815488989420058e-10
JPM,HAR-X,1.451310860497128,0.9265267717933261,2.3270171751033605e-08
JPM,RR,1.3185034770725694,0.9062105835280936,1.9850852645013223e-08
JPM,LA,1.2453924724735213,0.8933885054011844,2.498232065153929e-08
JPM,EN,1.2551363114178975,0.8951670204667082,2.609934555324266e-08
JPM,P-LA,0.9773636029132322,0.8357100183166736,8.780564960142838e-09
JPM,A-LA,1.553640594859856,0.9397372241895163,1.4927777862684177e-07
JPM,BG,1.2795199544931617,0.8995232169495077,5.815570885569676e-08
JPM,RF,1.2501376929056653,0.8942573422151618,7.05334400080706e-08
JPM,GB,1.211436646721569,0.8870204510110297,4.9650710860758884e-08
JPM,NN1_ensemble,1.5517589326333165,0.9395123521001286,1.3915632318233338e-07
JPM,NN2_ensemble,1.5282573772792596,0.9366480560917647,1.1772597785399676e-07
JPM,NN3_ensemble,1.4992235327115746,0.9329648026463888,1.1217998608306871e-07
JPM,NN4_ensemble,1.5312393090265257,0.93701723519544,1.2596890105862018e-07
