model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
HAR,7.3861871235417975e-06,1.2826297292646701e-05,1.0821006517645109,0.08417757887063543,13.26971121971333,0.0013137684266769645,0.4615078583876041,6.110221254307981e-10,3.5387537115355685e-10,7.172865955065809e-08,AAPL
LogHAR,-3.837499100809381e-05,2.0947574245605438e-05,1.3449642419219887,0.13431620838345593,15.390238837947457,0.00045504264461626587,0.468356205358596,1.0211651300775012e-09,4.104084620694485e-09,7.081644057770114e-08,AAPL
LevHAR,-2.5693507591894436e-05,1.709130693174358e-05,1.2683610228686766,0.11490590436532222,13.1310333458908,0.0014080962376964434,0.47965400014381576,8.785704203726352e-10,2.860187588111995e-09,6.931154270974763e-08,AAPL
SHAR,2.455240881026856e-06,1.746612641068695e-05,1.103355247341787,0.1101177345915481,12.317166616008388,0.002115247804700515,0.4648850868853577,5.912994217624991e-10,5.433670403514763e-10,7.127880326786296e-08,AAPL
HARQ,-4.4347885334333095e-05,2.4466722535269414e-05,1.4240432660897702,0.18296338708655274,9.140486727886286,0.01035543927039928,0.3202959647949314,1.5274792152907258e-09,3.78302128779579e-09,9.05384787797442e-08,AAPL
HAR-X,-5.257811581971442e-05,1.817427711613478e-05,1.2530914731569314,0.10530893244866431,10.079755792258418,0.006474538836279242,0.4826623351705621,3.2188560259453726e-11,2.6226856051724377e-09,6.891082406917155e-08,AAPL
RR,-5.876528733007911e-05,2.04332900575271e-05,1.2890144578255813,0.11768106798837188,9.874531714462979,0.007174186832336171,0.48134841846199106,5.3112175792618635e-11,3.223268282108556e-09,6.908584145008413e-08,AAPL
LA,-7.691482143775925e-05,1.9047101418854444e-05,1.4243458276668242,0.11504105399571297,16.855573610321336,0.00021870499191090076,0.482315504761455,2.643969031082573e-10,5.702345739418862e-09,6.895702284983004e-08,AAPL
EN,-7.227513625416756e-05,1.9196419886988515e-05,1.3824559578277738,0.1142927724264868,15.292220947968085,0.00047789932061603757,0.4837418783054033,1.6804183963578873e-10,4.931593641928356e-09,6.876702590387719e-08,AAPL
P-LA,-5.7210153190839906e-05,1.958807938129025e-05,1.2537495023919563,0.11150133910430662,12.818739052931651,0.0016460619734969262,0.4853686060382144,4.40894164400022e-12,2.6483408452548096e-09,6.855034121953059e-08,AAPL
A-LA,0.00023583380375826892,1255.9842166258952,2.8012350207121766e-08,12022100.757928262,37.185823601502904,8.417846530939244e-09,0.0,1.3701582837005756e-08,2.6733781187502977e-40,1.3320279723281107e-07,AAPL
BG,-7.980956914948483e-05,4.670673981152302e-05,1.4011843333816976,0.2701100203753492,8.641006489658622,0.013293192128671527,0.314652009904521,1.1161541056398857e-10,3.435905730431915e-09,9.129026935860268e-08,AAPL
RF,-0.00011343119506926713,5.026065769799076e-05,1.5503722078490303,0.2853172425006105,13.944870633597972,0.0009373673375003833,0.31803927195625314,1.1142163289553629e-10,5.338695327493994e-09,9.08390765783514e-08,AAPL
GB,-0.00017032224025002085,6.629984040848953e-05,2.3437028968165103,0.4655952429349951,39.551247888798514,2.5796194069727107e-09,0.3096205792494977,3.910886051725068e-09,1.3556405689680169e-08,9.196046999593469e-08,AAPL
