model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
HAR,1.2237601087471504e-05,2.794198111293852e-05,1.1367234717120298,0.1819338947407267,15.018300306702093,0.000548046646465683,0.4662830331115497,1.5390164402952561e-09,6.069182907763559e-10,4.801922236351296e-08,AAPL
LogHAR,-6.11678339701098e-05,4.155620150594765e-05,1.5729532620558222,0.26763896252293357,15.921359628309244,0.00034891583889029576,0.47481869087175566,2.238744815852191e-09,5.668115295399824e-09,4.725125793023713e-08,AAPL
LevHAR,-1.8718146457938397e-05,3.5135524302387504e-05,1.3343031267768128,0.23385115102671145,16.078879130971767,0.00032248963380487883,0.44102201099233396,2.048879137273422e-09,2.4907850388206014e-09,5.0291989979172745e-08,AAPL
SHAR,1.1879367215546524e-05,3.0587290949667e-05,1.1374199366901128,0.19715220835901923,14.836556256392885,0.0006001816922355241,0.4588906772952781,1.5238276088193943e-09,6.026583300819108e-10,4.868432240670859e-08,AAPL
HARQ,-2.7000212976705894e-05,4.2513091719381586e-05,1.4193724154016698,0.29943106437920175,16.672782071741835,0.00023963562058970655,0.3059358087036619,2.59085611942465e-09,2.4029316983287033e-09,6.244587450669611e-08,AAPL
HAR-X,8.313157210869437e-07,3.646655266377027e-05,1.152478812972915,0.2270232505710537,9.40134826061327,0.009089147765971917,0.4435679268780619,1.0260550795771228e-09,6.985819401251055e-10,5.006293055513328e-08,AAPL
RR,-4.088455869175039e-06,3.786445568091518e-05,1.1821064126562386,0.23526162368478218,9.351457253697395,0.00931873278458073,0.44347096498965366,1.0889201717258397e-09,9.469054936054447e-10,5.0071654344649284e-08,AAPL
LA,-0.00011739771058429102,4.4364605862321125e-05,1.8874921769176773,0.28216461867297166,16.105692722767188,0.0003181949345116841,0.5051193155148346,2.408552014727795e-09,1.004747272507721e-08,4.452507060107649e-08,AAPL
EN,-0.00012293957863922285,4.5309605317499964e-05,1.9305806022534922,0.2892696287102874,16.92909061827973,0.000210811685422585,0.5049089897394912,2.5394525895095523e-09,1.055478354203755e-08,4.454399388963874e-08,AAPL
P-LA,-5.3420596323977746e-05,4.156731855057069e-05,1.3392009372080929,0.23299348305776216,2.569875954157262,0.2766677428414953,0.4804485114611442,4.0207113299977675e-10,2.7731512915682925e-09,4.674473551569861e-08,AAPL
A-LA,0.0002366557906848524,,2.8020155438815826e-08,,61.82012199191441,3.7636560534792807e-14,0.0,1.3984323060554612e-08,1.5789922879806637e-39,8.997132439589324e-08,AAPL
BG,-7.420089228218694e-05,3.977946852874717e-05,1.6751311980648818,0.3019901054476486,10.521989119044797,0.005190140247538166,0.21672813023372295,2.609600387455632e-09,3.1673648891320325e-09,7.047200748491956e-08,AAPL
RF,-0.00010313242249521682,4.873126053574042e-05,1.8199827479173012,0.3463806578495029,8.910593211848855,0.01161687373001108,0.23634520249706303,2.4957220320665204e-09,4.316440833710389e-09,6.87070335126169e-08,AAPL
GB,-0.00027632296950298263,7.083483190775778e-05,3.377766394979038,0.5804025690081785,21.457593827294858,2.1904972028474745e-05,0.17240634686007406,7.188762339990635e-09,7.686639468106411e-09,7.445969703463463e-08,AAPL
NN1_ensemble,0.00014295879068110677,5.221877149987648e-05,0.6812283976946168,0.3150401268291735,22.50795561758494,1.2955659881797033e-05,0.015171157826722292,9.823693424412256e-09,2.9887982709380346e-10,8.860635523360391e-08,AAPL
NN2_ensemble,9.04925455850448e-05,4.357238200512782e-05,1.0756937013388623,0.2949002146696477,23.93261630134384,6.354748999348736e-06,0.037274081684062876,1.015613759426197e-08,1.6605551325413233e-11,8.66177259011374e-08,AAPL
NN3_ensemble,0.00012623286022763275,4.5723723054989427e-05,0.8460376888597245,0.2988581525543985,25.84592483834946,2.441342611958497e-06,0.018855066297435386,1.1265284833876821e-08,5.61799825821638e-11,8.827490910954059e-08,AAPL
