,HAR,LogHAR,LevHAR,SHAR,HARQ,HAR-X,RR,LA,EN,P-LA,A-LA,BG,RF,GB,NN1_ensemble,NN1_top1,NN2_ensemble,NN2_top1,NN3_ensemble,NN3_top1,NN4_ensemble,NN4_top1
HAR,1.0,0.9905664836761613,0.9349607988442593,0.9667466010276713,0.9850363869528523,0.862871465872301,0.8747987459341688,0.9505937517905966,0.8993245580767815,0.9120698216158596,0.7933907694224845,0.8866259239397091,0.9283920385867341,0.9370017661554828,0.9079538131335515,0.8123675978544685,0.9029621709215376,0.8170934632348349,0.891907894995369,0.8106744816115201,0.8789636283741677,0.8199365578507822
LogHAR,0.9905664836761613,1.0,0.9307887226458186,0.9592358851992705,0.9790518149212851,0.8541086509101854,0.8691475524663612,0.9442790282547835,0.8918010022220844,0.9020456720372354,0.7978034056896101,0.8835458496035755,0.9251950773269716,0.9336741023735547,0.9043960691396883,0.8134131311483229,0.9009104164219135,0.8120312164931776,0.8848880355817882,0.8015951940025826,0.8697034644624417,0.8126727069621599
LevHAR,0.9349607988442593,0.9307887226458186,1.0,0.9226727133521397,0.9316869345348948,0.8295594921086102,0.8418106973709132,0.8992406705208117,0.8573575904925432,0.8683189787338861,0.7198721773180061,0.8473301547460768,0.8813935822943956,0.8912696162612546,0.8703308228480234,0.7796084499905012,0.8600306748086809,0.7796001911463306,0.8480173522634059,0.7487002233913275,0.8316679164422924,0.7773126133705384
SHAR,0.9667466010276713,0.9592358851992705,0.9226727133521397,1.0,0.9428319017464118,0.8346730750622102,0.846608893122442,0.9255965344017603,0.8775198504752327,0.8849678204293725,0.7821078459996903,0.8511326215307634,0.8943650411166459,0.9014335663105233,0.8733580020222531,0.7798694190460573,0.8719151144270204,0.788139749884468,0.8576420490937933,0.765776031632723,0.8490042801676704,0.76953569544294
HARQ,0.9850363869528523,0.9790518149212851,0.9316869345348948,0.9428319017464118,1.0,0.8605021766640704,0.8693372208970837,0.9266073134587992,0.8770989607912199,0.8982141035262713,0.7252148475641994,0.8913870633169159,0.9215620377791349,0.9310201520371633,0.8986474733934705,0.8091322947546898,0.8841236681299173,0.7978062243846676,0.8729081908136519,0.787425596239709,0.855224890429142,0.8090963801037531
HAR-X,0.862871465872301,0.8541086509101854,0.8295594921086102,0.8346730750622102,0.8605021766640704,1.0,0.9963755422402768,0.9445180908350798,0.9619958172186336,0.9495235626708491,0.6540026451355772,0.8397308582965887,0.8690952704961635,0.9133124468031817,0.9354535909720726,0.8744075862023081,0.9263778626051802,0.8682795739570728,0.9068396739171171,0.8160294390252417,0.9031757152549544,0.8334245739877101
RR,0.8747987459341688,0.8691475524663612,0.8418106973709132,0.846608893122442,0.8693372208970837,0.9963755422402768,1.0,0.9529561150179036,0.9678225436480102,0.9548656511907117,0.6755750581030485,0.8455444604504812,0.8775462728195375,0.9210644563956272,0.9398725607051172,0.8753734403481513,0.9317173145417279,0.8768207262736618,0.9101681474627115,0.8222044724395293,0.9086466219141519,0.8355750720483258
LA,0.9505937517905966,0.9442790282547835,0.8992406705208117,0.9255965344017603,0.9266073134587992,0.9445180908350798,0.9529561150179036,1.0,0.9839714788011855,0.9844387750378051,0.7857118168484292,0.8839988150221589,0.927151311382402,0.9587863474774143,0.9488826194121887,0.8646449594262574,0.9548029138406599,0.8893865648386743,0.9448719800166215,0.8575385319913211,0.9390143304938788,0.8647632709848584
EN,0.8993245580767815,0.8918010022220844,0.8573575904925432,0.8775198504752327,0.8770989607912199,0.9619958172186336,0.9678225436480102,0.9839714788011855,1.0,0.9868004241800046,0.723185473141649,0.8508371560704294,0.8875869200890428,0.9370421180189381,0.9357235988756932,0.8649919291865235,0.9404402958831152,0.8836398572208055,0.9278266793229931,0.8414850168749143,0.9257100321152679,0.8481030082360312
P-LA,0.9120698216158596,0.9020456720372354,0.8683189787338861,0.8849678204293725,0.8982141035262713,0.9495235626708491,0.9548656511907117,0.9844387750378051,0.9868004241800046,1.0,0.7258254379822682,0.8604517162886135,0.8927135037671912,0.937023036940104,0.9369707790800913,0.8688575717489799,0.942177093699225,0.8901870013305632,0.933484287967879,0.8407009611198073,0.9283309579457486,0.851264881951718
A-LA,0.7933907694224845,0.7978034056896101,0.7198721773180061,0.7821078459996903,0.7252148475641994,0.6540026451355772,0.6755750581030485,0.7857118168484292,0.723185473141649,0.7258254379822682,1.0,0.6530442675833055,0.7327074802349687,0.7483527803150704,0.734486663701562,0.6300529254134858,0.7690316116893087,0.6944295253536391,0.7620992957207698,0.7387857634020218,0.7665227065017364,0.7015879555324768
BG,0.8866259239397091,0.8835458496035755,0.8473301547460768,0.8511326215307634,0.8913870633169159,0.8397308582965887,0.8455444604504812,0.8839988150221589,0.8508371560704294,0.8604517162886135,0.6530442675833055,1.0,0.9751808415707708,0.9204678144669449,0.8808237099394308,0.8214383680435318,0.8834282191457471,0.8070857066253798,0.89397412753896,0.8177655596261852,0.8787810475301545,0.8390099952128951
RF,0.9283920385867341,0.9251950773269716,0.8813935822943956,0.8943650411166459,0.9215620377791349,0.8690952704961635,0.8775462728195375,0.927151311382402,0.8875869200890428,0.8927135037671912,0.7327074802349687,0.9751808415707708,1.0,0.9506052129118867,0.9151713631094474,0.837536555995874,0.9248204691513638,0.8522865311122507,0.9305477789221032,0.856188682094617,0.9204287964478358,0.8742952901337003
GB,0.9370017661554828,0.9336741023735547,0.8912696162612546,0.9014335663105233,0.9310201520371633,0.9133124468031817,0.9210644563956272,0.9587863474774143,0.9370421180189381,0.937023036940104,0.7483527803150704,0.9204678144669449,0.9506052129118867,1.0,0.935843488421639,0.8534189624566526,0.9422593200787736,0.8728369167967113,0.9384088981516248,0.8533933459920542,0.9318898330073324,0.879109385383873
NN1_ensemble,0.9079538131335515,0.9043960691396883,0.8703308228480234,0.8733580020222531,0.8986474733934705,0.9354535909720726,0.9398725607051172,0.9488826194121887,0.9357235988756932,0.9369707790800913,0.734486663701562,0.8808237099394308,0.9151713631094474,0.935843488421639,1.0,0.952744123021913,0.9799815155425285,0.903380226346985,0.9695979031334663,0.8770686647548775,0.9478203522820648,0.8880352378431183
NN1_top1,0.8123675978544685,0.8134131311483229,0.7796084499905012,0.7798694190460573,0.8091322947546898,0.8744075862023081,0.8753734403481513,0.8646449594262574,0.8649919291865235,0.8688575717489799,0.6300529254134858,0.8214383680435318,0.837536555995874,0.8534189624566526,0.952744123021913,1.0,0.9146074430427417,0.824887413724132,0.9093311686967169,0.8165239322329367,0.875001448363826,0.828534288898865
NN2_ensemble,0.9029621709215376,0.9009104164219135,0.8600306748086809,0.8719151144270204,0.8841236681299173,0.9263778626051802,0.9317173145417279,0.9548029138406599,0.9404402958831152,0.942177093699225,0.7690316116893087,0.8834282191457471,0.9248204691513638,0.9422593200787736,0.9799815155425285,0.9146074430427417,1.0,0.9369945775651061,0.9816311726902442,0.8994186419120562,0.9708782166500308,0.8986439958778744
NN2_top1,0.8170934632348349,0.8120312164931776,0.7796001911463306,0.788139749884468,0.7978062243846676,0.8682795739570728,0.8768207262736618,0.8893865648386743,0.8836398572208055,0.8901870013305632,0.6944295253536391,0.8070857066253798,0.8522865311122507,0.8728369167967113,0.903380226346985,0.824887413724132,0.9369945775651061,1.0,0.9071443209810761,0.813870391302631,0.9348251809565747,0.8562586099269601
