Model,DM stat,p-value,mean loss diff,ticker
HAR,,,,AAPL
LogHAR,-5.848868356059145,4.846891853399123e-09,-1.793373770579072e-09,AAPL
LevHAR,-3.185915644234531,0.0007730664846324337,-8.490734499680355e-10,AAPL
SHAR,1.2638084476995173,0.8965145047346637,4.062678848239951e-11,AAPL
HARQ,0.5659592550092435,0.7141443436734352,1.3560244143346085e-10,AAPL
HAR-X,1.1262355754494584,0.8696587495584972,6.588182537007532e-10,AAPL
RR,0.7604387083102752,0.7762992292331412,4.2373564698518866e-10,AAPL
LA,0.32489702682279303,0.627292934827101,1.1262907746990083e-10,AAPL
EN,0.45985412020976413,0.677075445250245,1.6430161415646215e-10,AAPL
P-LA,-1.302401219731525,0.0967318365460413,-4.2433560532619885e-10,AAPL
A-LA,4.2231085023585,0.9999853386815039,3.42505647327675e-09,AAPL
BG,1.549576464339357,0.9390172870410411,3.3898273868497657e-08,AAPL
RF,1.689012460803696,0.9540356337170451,1.0942829786079347e-08,AAPL
GB,1.1797279595052426,0.8806256066734937,9.002657585952445e-09,AAPL
NN1_ensemble,0.7064752172166578,0.7598658527185042,3.6166729442200744e-10,AAPL
NN1_top1,1.707397586778999,0.9557715822101781,1.2085987926732704e-09,AAPL
NN2_ensemble,0.08022139485352042,0.531951092633864,4.8911920422807863e-11,AAPL
NN2_top1,-0.15289341963568387,0.43927636709397344,-9.560761088285534e-11,AAPL
NN3_ensemble,-0.7246121407802482,0.23453845052041933,-3.969983306841965e-10,AAPL
NN3_top1,1.0715888984395168,0.8577525925624434,8.487811496405341e-10,AAPL
NN4_ensemble,-2.074279159688941,0.019318496223876037,-1.0010008592150915e-09,AAPL
NN4_top1,-0.7133271841652015,0.23801160298084806,-4.408761508654033e-10,AAPL
HAR,,,,AMZN
LogHAR,2.4735211825612575,0.9931214310746008,1.0899460333135882e-09,AMZN
LevHAR,-0.88491459146926,0.18834410917370692,-2.592564939664551e-10,AMZN
SHAR,-0.43478348039185655,0.3319668640567113,-1.9708597801623404e-11,AMZN
HARQ,2.500464258596614,0.9936162443406229,8.219209237540787e-10,AMZN
HAR-X,1.3854371103450478,0.9166880269288715,7.208067167959319e-10,AMZN
RR,0.8526573994784491,0.802842338219157,5.802647765891422e-10,AMZN
LA,-1.112906422137827,0.13317951509737289,-5.067503852331431e-10,AMZN
EN,0.6631136990422343,0.7461967189028582,4.3336987221774796e-10,AMZN
P-LA,0.8697190992226449,0.8075348540133499,5.882886252421135e-10,AMZN
A-LA,2.305341123531524,0.9891929940590425,2.0948164998674506e-09,AMZN
BG,3.043326143291922,0.9987596881300191,2.919301939354525e-08,AMZN
RF,2.610277637049745,0.9953215206176911,1.472591882643468e-08,AMZN
GB,2.7445544901380767,0.996845806368621,1.5665381643428326e-08,AMZN
NN1_ensemble,2.0373745620993975,0.9788934553230847,1.3583725360005992e-09,AMZN
NN1_top1,2.742211215898183,0.9968236046842658,1.981094787942939e-09,AMZN
NN2_ensemble,1.0278873146999523,0.8477149322708968,6.587032558115643e-10,AMZN
NN2_top1,2.927952802920822,0.9982050517113735,1.6688823679840526e-09,AMZN
NN3_ensemble,1.3405331710712252,0.90961652879029,1.2516916165357641e-09,AMZN
NN3_top1,3.3038489845856804,0.9994840260247273,2.2555393784887075e-09,AMZN
NN4_ensemble,1.88995267850191,0.9702878431941296,1.856424048285511e-09,AMZN
NN4_top1,1.7986989650919596,0.9636226780485877,3.4199483819445504e-09,AMZN
HAR,,,,JPM
LogHAR,-5.394779752150956,5.626281076339326e-08,-1.8242400046509108e-09,JPM
LevHAR,0.9419258871161349,0.8266250980343843,5.54557103831548e-10,JPM
SHAR,-0.31329049981226914,0.3771045490780186,-6.058271451873795e-11,JPM
HARQ,1.5288729742344498,0.9364911125113337,2.351208657188776e-09,JPM
HAR-X,1.7576069257116287,0.9602435259934691,2.439957459190951e-09,JPM
RR,1.8770075415416543,0.9694092286103507,2.3757570875087613e-09,JPM
LA,-0.26709961792688913,0.394759088010327,-1.196540779953158e-10,JPM
EN,0.13093330941212647,0.5520559098134723,6.075167751877276e-11,JPM
P-LA,-2.8258004725408497,0.002465982764268193,-1.3783245304101231e-09,JPM
A-LA,4.5438609392465645,0.9999964235194249,3.4270088737581845e-09,JPM
BG,1.5654055999528018,0.9408949980455719,6.334395253530403e-08,JPM
RF,1.5185788603597743,0.9352050040117291,2.1091389125355908e-08,JPM
GB,1.4827357729008088,0.9305681188657108,3.084607279469971e-09,JPM
NN1_ensemble,-0.9896259006391941,0.16145168980442914,-4.882142247635436e-10,JPM
NN1_top1,-0.5999111176405307,0.27443784942969657,-3.705028781819581e-10,JPM
NN2_ensemble,-1.4774605594226473,0.0701354436814771,-6.91828037414926e-10,JPM
NN2_top1,2.7490330154621705,0.996887849279366,1.6552711453610497e-09,JPM
NN3_ensemble,-2.5537790318841713,0.005496857952225673,-1.4031807279656155e-09,JPM
NN3_top1,-1.876468663238198,0.03062780944610966,-1.0187537693910915e-09,JPM
NN4_ensemble,2.374842323201578,0.9910068726624037,1.527030833482781e-09,JPM
NN4_top1,7.091156418245264,0.9999999999973159,6.210962480164823e-09,JPM
