Model,DM stat,p-value,mean loss diff,ticker
HAR,,,,AAPL
LogHAR,-1.7622606841238033,0.03935899066098636,-0.009795716988547209,AAPL
LevHAR,-1.5531568928002177,0.06055149011800747,-0.005137723262051968,AAPL
SHAR,1.5276975678522906,0.9363477316268194,0.0003897058891134112,AAPL
HARQ,-2.361772537780723,0.009310761454852988,-0.0036457037525781514,AAPL
HAR-X,2.9034480688020037,0.9980619903376663,0.06701798412688695,AAPL
RR,2.5618831475016797,0.994629015086748,0.05781370201630069,AAPL
LA,-0.31365682860628924,0.3769649984560125,-0.0014200939233126777,AAPL
EN,-0.36211642452453374,0.35871924339730765,-0.001660162808046888,AAPL
P-LA,-0.9107319741478804,0.18146706567256116,-0.007449299698750896,AAPL
A-LA,7.465037944378958,0.9999999999997757,0.12921232413370637,AAPL
BG,1.2152265038991776,0.8875350460334182,0.016818677529104435,AAPL
RF,0.9701084338480601,0.8337378999544663,0.012640159532155117,AAPL
GB,0.34782827850733095,0.6359324454087238,0.0019579827504178707,AAPL
NN1_ensemble,1.0704450246167507,0.8574977265851598,0.014296502957067041,AAPL
NN1_top1,1.4230599369167563,0.9222871010999028,0.026443313600457232,AAPL
NN2_ensemble,0.00918650875865494,0.503662758108693,0.0001006440729793246,AAPL
NN2_top1,3.405169805581526,0.9996391328571617,0.06390386897800289,AAPL
NN3_ensemble,-0.48623144153933445,0.3135223031685215,-0.005263000819695795,AAPL
NN3_top1,1.2732785148003698,0.8982050099438124,0.02154609448155503,AAPL
NN4_ensemble,-0.5867821686529172,0.27882513310874185,-0.00499705022223054,AAPL
NN4_top1,5.509915627351987,0.9999999694264935,0.056063279672927006,AAPL
HAR,,,,AMZN
LogHAR,1.1187693045875367,0.8680762066570191,0.0022105950880110113,AMZN
LevHAR,-0.8276475812847376,0.20415887609754088,-0.002080153755519751,AMZN
SHAR,-0.4288329388994891,0.3341271007320271,-0.0002054579068193372,AMZN
HARQ,1.7755357686231943,0.9617504851202984,0.002630054226745196,AMZN
HAR-X,3.4310224695124676,0.9996710207009061,0.11336033563372352,AMZN
RR,3.6028664240945423,0.9998247163422642,0.1711190847063558,AMZN
LA,2.1797854320338135,0.9850991917499528,0.040676218443646876,AMZN
EN,3.467017725835098,0.9997110586044077,0.14420637746451484,AMZN
P-LA,3.789576456466146,0.9999140643858022,0.14612880820344973,AMZN
A-LA,5.081043771983915,0.9999997223150469,0.04880219809871204,AMZN
BG,4.303138218464475,0.9999896202411945,0.0246107618555177,AMZN
RF,3.270278322303599,0.9994206760034089,0.015382251424629177,AMZN
GB,2.5080224680644254,0.9937504848185927,0.01020847704280141,AMZN
NN1_ensemble,2.082432967857214,0.9810606245389654,0.01371876250696959,AMZN
NN1_top1,3.9788607837559655,0.999959530279599,0.024820009863789363,AMZN
NN2_ensemble,2.0682407533569838,0.9804000910057858,0.012138395682820862,AMZN
NN2_top1,4.317481641125133,0.999990246500862,0.11206087084789491,AMZN
NN3_ensemble,2.8107332228980537,0.9974184862441643,0.020916648258520916,AMZN
NN3_top1,3.651783933589433,0.9998541554320755,0.0746051830369737,AMZN
NN4_ensemble,3.444145525802722,0.9996861821592132,0.03546310691583948,AMZN
NN4_top1,5.179806807324194,0.9999998307453253,0.10420942310019037,AMZN
HAR,,,,JPM
LogHAR,-2.536056320772858,0.005777481476150215,-0.012834772163128788,JPM
LevHAR,1.3075103245803423,0.9041396547797066,0.008951733241221844,JPM
SHAR,1.8858827962613904,0.9700161553645429,0.005261224436528786,JPM
HARQ,2.645938823854698,0.9957811636187165,0.02892932070698246,JPM
HAR-X,3.287500386146528,0.99945417231284,0.10619205251365275,JPM
RR,3.474161057776435,0.9997184422042565,0.09280390910665051,JPM
LA,4.231724383702785,0.9999858865345438,0.0341829302837911,JPM
EN,4.834493506274784,0.9999990766782288,0.04551863086977994,JPM
P-LA,-3.5286054244496277,0.00023081045142578845,-0.002799472557662828,JPM
A-LA,7.463412604889752,0.9999999999997733,0.149037252187831,JPM
BG,2.189686879897629,0.9854649051978888,0.017900067038917337,JPM
RF,-0.18554687960489183,0.4264427112843726,-0.0012125204864584678,JPM
GB,-2.5795055244878022,0.005108463838786402,-0.014782491232600432,JPM
NN1_ensemble,-0.1137686806947851,0.45473647041704635,-0.0013299426363403632,JPM
NN1_top1,-0.1913733376397127,0.42416059245400384,-0.0020927583534081067,JPM
NN2_ensemble,-1.3803856544619988,0.08408360498478545,-0.012142671959287733,JPM
NN2_top1,-0.09031979072344644,0.46403705031816567,-0.001006151983331351,JPM
NN3_ensemble,-0.9858732454639507,0.1623679475123181,-0.007141628604561904,JPM
NN3_top1,1.389476795890831,0.9173055429058516,0.015611542907847772,JPM
NN4_ensemble,1.5784683501010042,0.9424124777879366,0.012684744931454118,JPM
NN4_top1,0.1490705754224266,0.5592169560642615,0.0012005706857037242,JPM
