Model,DM stat,p-value,mean loss diff,ticker,bonferroni_significant,holm_significant,bh_fdr_significant
HAR,,,,AAPL,False,False,False
LogHAR,-1.762260684123803,0.0393589906609863,-0.0097957169885472,AAPL,False,False,False
LevHAR,-1.5531568928002175,0.0605514901180074,-0.0051377232620519,AAPL,False,False,False
SHAR,1.5276975678522906,0.9363477316268194,0.0003897058891134,AAPL,False,False,False
HARQ,-2.361772537780723,0.0093107614548529,-0.0036457037525781,AAPL,False,False,False
HAR-X,2.903448068802004,0.9980619903376664,0.0670179841268869,AAPL,False,False,False
RR,2.56188314750168,0.994629015086748,0.0578137020163006,AAPL,False,False,False
LA,-0.3136568286062892,0.3769649984560125,-0.0014200939233126,AAPL,False,False,False
EN,-0.3621164245245337,0.3587192433973076,-0.0016601628080468,AAPL,False,False,False
P-LA,-0.9107319741478804,0.1814670656725611,-0.0074492996987508,AAPL,False,False,False
A-LA,7.465037944378958,0.9999999999997756,0.1292123241337063,AAPL,False,False,False
BG,1.2152265038991776,0.8875350460334182,0.0168186775291044,AAPL,False,False,False
RF,0.97010843384806,0.8337378999544663,0.0126401595321551,AAPL,False,False,False
GB,0.3478282785073309,0.6359324454087238,0.0019579827504178,AAPL,False,False,False
NN1_ensemble,1.0704450246167507,0.8574977265851598,0.014296502957067,AAPL,False,False,False
NN1_top1,1.4230599369167565,0.9222871010999028,0.0264433136004572,AAPL,False,False,False
NN2_ensemble,0.0091865087586549,0.503662758108693,0.0001006440729793,AAPL,False,False,False
NN2_top1,3.405169805581526,0.9996391328571615,0.0639038689780028,AAPL,False,False,False
NN3_ensemble,-0.4862314415393344,0.3135223031685215,-0.0052630008196957,AAPL,False,False,False
NN3_top1,1.2732785148003698,0.8982050099438124,0.021546094481555,AAPL,False,False,False
NN4_ensemble,-0.5867821686529172,0.2788251331087418,-0.0049970502222305,AAPL,False,False,False
NN4_top1,5.509915627351987,0.9999999694264936,0.056063279672927,AAPL,False,False,False
HAR,,,,AMZN,False,False,False
LogHAR,1.1187693045875369,0.8680762066570191,0.002210595088011,AMZN,False,False,False
LevHAR,-0.8276475812847376,0.2041588760975408,-0.0020801537555197,AMZN,False,False,False
SHAR,-0.4288329388994891,0.3341271007320271,-0.0002054579068193,AMZN,False,False,False
HARQ,1.7755357686231945,0.9617504851202984,0.0026300542267451,AMZN,False,False,False
HAR-X,3.431022469512468,0.999671020700906,0.1133603356337235,AMZN,False,False,False
RR,3.6028664240945423,0.9998247163422642,0.1711190847063558,AMZN,False,False,False
LA,2.179785432033813,0.9850991917499528,0.0406762184436468,AMZN,False,False,False
EN,3.467017725835098,0.9997110586044076,0.1442063774645148,AMZN,False,False,False
P-LA,3.789576456466146,0.9999140643858022,0.1461288082034497,AMZN,False,False,False
A-LA,5.081043771983915,0.9999997223150467,0.048802198098712,AMZN,False,False,False
BG,4.303138218464475,0.9999896202411944,0.0246107618555177,AMZN,False,False,False
RF,3.270278322303599,0.9994206760034088,0.0153822514246291,AMZN,False,False,False
GB,2.5080224680644254,0.9937504848185928,0.0102084770428014,AMZN,False,False,False
NN1_ensemble,2.082432967857214,0.9810606245389654,0.0137187625069695,AMZN,False,False,False
NN1_top1,3.9788607837559655,0.999959530279599,0.0248200098637893,AMZN,False,False,False
NN2_ensemble,2.068240753356984,0.9804000910057858,0.0121383956828208,AMZN,False,False,False
NN2_top1,4.317481641125133,0.999990246500862,0.1120608708478949,AMZN,False,False,False
NN3_ensemble,2.8107332228980537,0.9974184862441644,0.0209166482585209,AMZN,False,False,False
NN3_top1,3.651783933589433,0.9998541554320756,0.0746051830369737,AMZN,False,False,False
NN4_ensemble,3.444145525802722,0.9996861821592132,0.0354631069158394,AMZN,False,False,False
NN4_top1,5.179806807324194,0.9999998307453252,0.1042094231001903,AMZN,False,False,False
HAR,,,,JPM,False,False,False
LogHAR,-2.536056320772858,0.0057774814761502,-0.0128347721631287,JPM,False,False,False
LevHAR,1.3075103245803423,0.9041396547797066,0.0089517332412218,JPM,False,False,False
SHAR,1.8858827962613904,0.9700161553645428,0.0052612244365287,JPM,False,False,False
HARQ,2.645938823854698,0.9957811636187164,0.0289293207069824,JPM,False,False,False
HAR-X,3.287500386146528,0.99945417231284,0.1061920525136527,JPM,False,False,False
RR,3.474161057776435,0.9997184422042564,0.0928039091066505,JPM,False,False,False
LA,4.231724383702785,0.9999858865345438,0.0341829302837911,JPM,False,False,False
EN,4.834493506274784,0.9999990766782288,0.0455186308697799,JPM,False,False,False
P-LA,-3.528605424449628,0.0002308104514257,-0.0027994725576628,JPM,True,True,True
A-LA,7.463412604889752,0.9999999999997732,0.149037252187831,JPM,False,False,False
BG,2.189686879897629,0.9854649051978888,0.0179000670389173,JPM,False,False,False
RF,-0.1855468796048918,0.4264427112843726,-0.0012125204864584,JPM,False,False,False
GB,-2.5795055244878022,0.0051084638387864,-0.0147824912326004,JPM,False,False,False
NN1_ensemble,-0.1137686806947851,0.4547364704170463,-0.0013299426363403,JPM,False,False,False
NN1_top1,-0.1913733376397127,0.4241605924540038,-0.0020927583534081,JPM,False,False,False
NN2_ensemble,-1.3803856544619988,0.0840836049847854,-0.0121426719592877,JPM,False,False,False
NN2_top1,-0.0903197907234464,0.4640370503181656,-0.0010061519833313,JPM,False,False,False
NN3_ensemble,-0.9858732454639508,0.1623679475123181,-0.0071416286045619,JPM,False,False,False
NN3_top1,1.389476795890831,0.9173055429058516,0.0156115429078477,JPM,False,False,False
NN4_ensemble,1.5784683501010042,0.9424124777879366,0.0126847449314541,JPM,False,False,False
