ticker,AAPL,AAPL,AMZN,AMZN,JPM,JPM
regime,high_vol,low_vol,high_vol,low_vol,high_vol,low_vol
model,,,,,,
A-LA,1.3422723626007492e-08,1.2902231868418376e-08,1.2231497796863583e-08,1.3593899212147503e-08,4.447022850099455e-09,1.0885114080321796e-08
BG,2.6179588765817262e-08,4.83381328989656e-09,2.229323346920171e-08,5.352750026248581e-09,1.319658630673682e-08,3.8693749025934215e-09
EN,1.7487474457535423e-08,2.963440400761882e-09,1.8162257587830443e-08,4.2607443684807035e-09,8.481278167733889e-09,4.149951436848034e-09
GB,1.8949412139068052e-08,2.8878759672066018e-09,1.9404807155008368e-08,3.362567342812206e-09,8.314637602887706e-09,1.580356385467513e-09
HAR,1.8865242051341547e-08,3.111426389647874e-09,1.570997036478482e-08,3.817542991135662e-09,1.536109558494807e-08,2.323023117979392e-09
HAR-X,2.143409328953024e-08,3.4634930981341706e-09,1.7856613488566266e-08,4.285723651470325e-09,2.0388016606936074e-08,2.6368544191012127e-09
HARQ,1.977571383444642e-08,2.968501520934909e-09,1.625089818108243e-08,4.0832236605504424e-09,2.7169201501164925e-08,2.806973646595825e-09
LA,1.7453944114445074e-08,2.976398098879105e-09,1.6229161243657277e-08,3.3260866894679955e-09,8.950154032877217e-09,3.6464514035849966e-09
LevHAR,1.8821016497752584e-08,2.9350527086474133e-09,1.580062583132089e-08,3.3734812834101866e-09,1.650540138207583e-08,2.52104826214832e-09
LogHAR,1.5945026562563328e-08,2.6115685928394025e-09,1.5865241404825452e-08,3.929230853097839e-09,9.006117328136715e-09,1.901272803065274e-09
NN1_ensemble,1.6114353096491007e-08,3.107553101160545e-09,1.8231187415303526e-08,2.916867006300198e-09,1.0608180174891112e-08,1.9542849558252056e-09
NN1_top1,1.6680665353966563e-08,3.0215717070057087e-09,2.0095291969481267e-08,4.773063700743691e-09,8.444334155110576e-09,2.3060949001233047e-09
NN2_ensemble,1.6256108425517547e-08,2.9866677873804185e-09,1.76578982220432e-08,2.9626692441075026e-09,9.271047151509173e-09,1.763006934126239e-09
NN2_top1,1.6410875553450028e-08,5.18483242301646e-09,2.3424907329599052e-08,4.2440213187430565e-09,1.0490026367419098e-08,1.6582629230626526e-09
NN3_ensemble,1.7244835176040628e-08,2.6001808773401306e-09,2.0180148303427008e-08,2.873228424023396e-09,9.202714082024217e-09,1.908580068593069e-09
NN3_top1,1.7007975665931964e-08,4.207723718759327e-09,2.4467970060920156e-08,3.3367809323554612e-09,1.149796575493622e-08,2.5710387435549175e-09
NN4_ensemble,1.674070928591535e-08,2.7053435317819248e-09,2.1051857910648284e-08,2.874765879208389e-09,7.2302892674969905e-09,2.7036571140381e-09
NN4_top1,2.1037621660826076e-08,6.062192023864399e-09,2.687129004293669e-08,4.135475878649955e-09,1.151497247443859e-08,1.7233960560994719e-09
P-LA,1.9078989098748118e-08,2.551035758697792e-09,1.8769935817458813e-08,4.414202089274508e-09,1.4922126459756388e-08,2.2346666549289144e-09
RF,2.106001574625142e-08,3.926661408734624e-09,1.9050678177376094e-08,4.417150899604697e-09,1.0768654041565972e-08,2.4402883878738742e-09
RR,2.0322203523503426e-08,3.269711789959813e-09,1.8546009402810312e-08,4.442265748894956e-09,1.9159153114825076e-08,2.538459128938562e-09
SHAR,1.9001423753848118e-08,3.1287868627330295e-09,1.580849961348193e-08,3.7352514863705e-09,1.3558475756158305e-08,2.6281124574255303e-09
