ticker,AAPL,AAPL,AMZN,AMZN,JPM,JPM
regime,high_vol,low_vol,high_vol,low_vol,high_vol,low_vol
model,,,,,,
A-LA,1.3309047155109698e-08,1.2911541654300074e-08,1.2143209630070499e-08,1.3738291248141945e-08,4.590291632993385e-09,1.0798469469562962e-08
BG,3.051801662474309e-08,3.164986905966889e-09,3.15548688920698e-08,7.530597356400126e-09,1.8415204177737998e-08,3.270287106944068e-09
EN,1.825307020657619e-08,3.1482673278018236e-09,1.557647276202315e-08,3.494513096470584e-09,7.365882083245913e-09,5.4489779015158235e-09
GB,2.0146720399231078e-08,2.7645488559670216e-09,1.9687428182333315e-08,4.801668884600883e-09,1.0143545731531273e-08,2.1529491083607423e-09
HAR,1.8696681807344457e-08,3.1389012081652904e-09,1.5518155207069804e-08,3.822230244086376e-09,1.5760945264057013e-08,2.394397786889117e-09
HARQ,1.9611076147767777e-08,2.993475844778485e-09,1.6091328945683384e-08,4.106515910078342e-09,2.855257509239383e-08,2.8567145102932022e-09
LA,1.798398648242084e-08,3.240983312771918e-09,1.5116676594622626e-08,3.6799960688182627e-09,7.261233297332716e-09,5.568938464252749e-09
LevHAR,1.8618098441223505e-08,2.939393900465969e-09,1.5579234318315728e-08,3.3500921700367276e-09,1.688184666969408e-08,2.5823140548765862e-09
LogHAR,1.5835846790139863e-08,2.619823801982054e-09,1.565034868415758e-08,3.91919775541226e-09,9.001723548203174e-09,1.9716334658834775e-09
NN1_ensemble,1.775929228690304e-08,2.8208798870654726e-09,1.7832075482662807e-08,4.2070771015175594e-09,1.0389867186165412e-08,2.3284060656025485e-09
NN1_top1,1.716184257234246e-08,3.1434100101169127e-09,2.0248163142886788e-08,4.735312935739539e-09,9.665838121460316e-09,3.3000694825790453e-09
NN2_ensemble,1.77425170791246e-08,2.916216065776352e-09,1.87709431712178e-08,4.180424955498673e-09,1.0142684214984617e-08,2.8547228133324313e-09
NN2_top1,2.382922016085914e-08,3.1842484931762525e-09,1.85291941796203e-08,3.4024236797256744e-09,8.092133442977504e-09,5.784081347395353e-09
NN3_ensemble,1.7946184975984776e-08,2.744624764157472e-09,1.8685922249096274e-08,4.36868975164616e-09,1.1653500302628129e-08,1.9074526875796404e-09
NN3_top1,1.920543927929037e-08,2.883789195328909e-09,2.0407776885965805e-08,4.205272965041021e-09,1.0705720744639285e-08,1.932804561036439e-09
NN4_ensemble,1.794944333516864e-08,2.6388318770703026e-09,1.980524457521352e-08,4.515436471690137e-09,1.0273689892487551e-08,2.7587603521639295e-09
NN4_top1,1.9651921347466114e-08,2.67175895349357e-09,1.9692941735759765e-08,3.819631777081337e-09,1.1279484095980394e-08,6.434808772506223e-09
P-LA,1.9843279587760864e-08,3.2743147886227605e-09,1.5629795079049015e-08,3.4764716794154543e-09,1.5252733747143075e-08,2.302884039981698e-09
RF,2.8169760083692106e-08,3.0668395755685444e-09,2.7550291777760322e-08,6.6608902569337826e-09,1.7037589349566902e-08,2.995287702044387e-09
RR,1.8071012681322387e-08,3.0761248824060084e-09,1.53694764212034e-08,3.5130275590286527e-09,1.4634063314296789e-08,2.39051241738052e-09
SHAR,1.884280229243238e-08,3.1583831857347833e-09,1.5614957749347854e-08,3.739433905685521e-09,1.3712358352749384e-08,2.6903633616098737e-09
