feature_set,horizon,loss,model,regime,pooled_ratio_vs_HAR
M_HAR,1,mse,A-LA,high_vol,0.9763175071526721
M_HAR,1,mse,A-LA,low_vol,4.193650887157253
M_HAR,1,mse,BG,high_vol,1.4808833031727617
M_HAR,1,mse,BG,low_vol,1.3639560153951844
M_HAR,1,mse,EN,high_vol,0.9700940482265215
M_HAR,1,mse,EN,low_vol,1.0737632181538384
M_HAR,1,mse,GB,high_vol,1.1024987278145504
M_HAR,1,mse,GB,low_vol,1.0407311155945145
M_HAR,1,mse,HAR,high_vol,1.0
M_HAR,1,mse,HAR,low_vol,1.0
M_HAR,1,mse,HARQ,high_vol,1.0578436678178507
M_HAR,1,mse,HARQ,low_vol,1.0341558071754402
M_HAR,1,mse,LA,high_vol,0.9664269203755648
M_HAR,1,mse,LA,low_vol,1.0875106856563945
M_HAR,1,mse,LevHAR,high_vol,1.0461864133276741
M_HAR,1,mse,LevHAR,low_vol,1.0255142273365425
M_HAR,1,mse,LogHAR,high_vol,0.9674327585799603
M_HAR,1,mse,LogHAR,low_vol,0.9187155752499662
M_HAR,1,mse,NN1_ensemble,high_vol,1.0539177618863895
M_HAR,1,mse,NN1_ensemble,low_vol,0.9769036843931005
M_HAR,1,mse,NN1_top1,high_vol,1.056726018448118
M_HAR,1,mse,NN1_top1,low_vol,1.0352466743039679
M_HAR,1,mse,NN2_ensemble,high_vol,1.0371099339150869
M_HAR,1,mse,NN2_ensemble,low_vol,0.9669025535949513
M_HAR,1,mse,NN2_top1,high_vol,1.032366966010785
M_HAR,1,mse,NN2_top1,low_vol,1.5109638560696876
M_HAR,1,mse,NN3_ensemble,high_vol,1.0347295062304254
M_HAR,1,mse,NN3_ensemble,low_vol,0.9522886242743921
M_HAR,1,mse,NN3_top1,high_vol,1.0583787053788087
M_HAR,1,mse,NN3_top1,low_vol,0.964892826261575
M_HAR,1,mse,NN4_ensemble,high_vol,1.0146115376427085
M_HAR,1,mse,NN4_ensemble,low_vol,0.970245460013181
M_HAR,1,mse,NN4_top1,high_vol,1.0588051817071078
M_HAR,1,mse,NN4_top1,low_vol,1.0848901362865304
M_HAR,1,mse,P-LA,high_vol,1.0003576967870023
M_HAR,1,mse,P-LA,low_vol,0.9730084884924991
M_HAR,1,mse,RF,high_vol,1.3097907866016183
M_HAR,1,mse,RF,low_vol,1.2558831260880694
M_HAR,1,mse,RR,high_vol,0.9899061914528228
M_HAR,1,mse,RR,low_vol,0.9840679984992771
M_HAR,1,mse,SHAR,high_vol,1.0373406079410155
M_HAR,1,mse,SHAR,low_vol,1.0854684595671251
M_HAR,1,qlike,A-LA,high_vol,0.8726572610487952
M_HAR,1,qlike,A-LA,low_vol,2.546884773696584
M_HAR,1,qlike,BG,high_vol,1.3081618970645075
M_HAR,1,qlike,BG,low_vol,1.1130312083090972
M_HAR,1,qlike,EN,high_vol,0.9450638093946652
M_HAR,1,qlike,EN,low_vol,1.076586816821826
M_HAR,1,qlike,GB,high_vol,1.072401131761013
M_HAR,1,qlike,GB,low_vol,1.0243818320388016
M_HAR,1,qlike,HAR,high_vol,1.0
M_HAR,1,qlike,HAR,low_vol,1.0
M_HAR,1,qlike,HARQ,high_vol,1.0687872952406583
M_HAR,1,qlike,HARQ,low_vol,1.10323197011105
M_HAR,1,qlike,LA,high_vol,0.937524039959
