model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
HAR,4.945632741655641e-05,2.2297137302291346e-05,0.42059162837241515,0.13364308588669563,90.20134333175218,0.0,0.08256126453434076,2.5641653669993983e-09,4.0905344555271603e-10,2.3951488482762884e-09,AAPL
LogHAR,4.702859372445082e-05,1.7319352519399717e-05,0.49181391834791566,0.12508767134477503,37.56050910276966,6.979737343648651e-09,0.17311158900329782,9.33712649254398e-10,4.825312899733881e-10,2.1587499510215468e-09,AAPL
LevHAR,4.237032273597886e-05,2.0269022240465693e-05,0.4829283917418079,0.13040431541507233,70.45298173366912,5.551115123125783e-16,0.15332961254377098,1.8500003522435472e-09,4.588992840339911e-10,2.2103945745828306e-09,AAPL
SHAR,5.1852280694500837e-05,2.1596863241473374e-05,0.40668274665892074,0.1290800571973118,91.44360230905625,0.0,0.0788984233043184,2.565867233287934e-09,4.3841582191723846e-10,2.404711394105634e-09,AAPL
HARQ,6.493825850231379e-05,1.6582954512330288e-05,0.33619889945814835,0.10033172514352781,98.29984514111254,0.0,0.07848730408540827,2.2993851223233763e-09,7.988002806783961e-10,2.405784699260094e-09,AAPL
HAR-X,9.94304988186888e-05,1.3655246635250645e-05,0.14118002412804134,0.0690443987079477,253.56534753179545,0.0,0.020529415471685408,1.4867847928119034e-09,1.9833062970009606e-09,2.5570948247162913e-09,AAPL
RR,0.00010139827814196423,1.443830768058291e-05,0.1301574990300056,0.07397389199464863,237.00511533677138,0.0,0.015869208406991575,1.3724935209944248e-09,1.8503486024842524e-09,2.569261184334914e-09,AAPL
LA,6.13151972266891e-05,2.578371800050463e-05,0.349804807246393,0.13980428654442947,119.12932683574712,0.0,0.030892714800477505,2.6723147105488794e-09,2.786425730455027e-10,2.5300394547039267e-09,AAPL
EN,5.9127931272907014e-05,2.6585465902746274e-05,0.3608657822195504,0.14397753062247456,118.9596293684281,0.0,0.03105918063287827,2.7487106514915356e-09,2.543537596033066e-10,2.5296048638900242e-09,AAPL
P-LA,8.421274505653047e-05,1.7371955191080905e-05,0.2338778734415726,0.09542154542876484,136.33085936708233,0.0,0.029047839919298157,1.5954336701481594e-09,8.137425328068052e-10,2.534855852547242e-09,AAPL
A-LA,0.00012211433908331285,981.7292450315072,2.4513806729691512e-08,4903368.7163132755,4.159210121612569e-14,0.9999999999999792,0.0,6.182733353689619e-09,1.8413702930853906e-39,2.6106907804155408e-09,AAPL
BG,0.00012323365509793978,7.1748018856294194e-06,-0.005767753236938248,0.01659477477856359,4229.2449486906025,0.0,0.0003965529443878957,5.176698844796112e-09,3.1480287181230266e-08,2.60965550329968e-09,AAPL
RF,0.0001238852894066327,8.900497663077956e-06,-0.009928477971028528,0.03216033897206433,1224.8816524600084,0.0,0.00039006518951334446,3.1647304099600245e-09,1.0536794596126213e-08,2.6096724408215168e-09,AAPL
GB,0.00012184798161527501,8.379222703970044e-06,0.001558601782813806,0.034177059942061445,936.0836321992207,0.0,8.755782375580168e-06,2.3798739866653e-09,9.380483338340336e-09,2.6106679217752167e-09,AAPL
NN1_ensemble,9.034276360428973e-05,1.4613757096607875e-05,0.1933900814584653,0.08523493166478407,131.79242275390135,0.0,0.031322015924714286,1.7785783108164279e-09,1.4225379622171246e-09,2.5289186822168597e-09,AAPL
NN1_top1,8.863247627922453e-05,1.240327330250332e-05,0.20074941455238904,0.07806707367127953,128.73431572973618,0.0,0.05083286501194284,1.9954125981017932e-09,2.1035719670131272e-09,2.477981888386753e-09,AAPL
NN2_ensemble,8.870998951537783e-05,1.5919781767916635e-05,0.20625870378159258,0.09852211654770651,95.8526166847619,0.0,0.03382410242601863,1.5871720665667922e-09,1.3077210066283182e-09,2.5223865080561024e-09,AAPL
NN2_top1,9.44424264335792e-05,1.2317796089544908e-05,0.17887785590160035,0.079175040645249,119.71638317147625,0.0,0.030541607031751905,1.061647649077306e-09,1.6801563123495714e-09,2.530956088518671e-09,AAPL
