model,alpha,alpha_se,beta,beta_se,"Wald(α=0,β=1)",p-value,R²,bias_comp,regr_comp,disturb_comp,ticker
HAR,4.349845187606633e-05,1.868833745034644e-05,0.5278012223770615,0.14526663626461833,16.4789512422184,0.00026402266107161676,0.1506814562371106,6.628058059912802e-10,8.052851890299616e-10,5.670894602254202e-09,AAPL
LogHAR,3.418357821213942e-05,1.7330358211473845e-05,0.6401209682623427,0.15370205171813117,6.333117634698712,0.042148388939134085,0.19025693105717212,2.121761591978014e-10,4.0152300780995815e-10,5.4066494045167204e-09,AAPL
LevHAR,4.735312381314952e-05,1.736126504088885e-05,0.5170203277675223,0.14381122092700868,13.357907223639335,0.0012570926915231873,0.16030022810522238,4.557032557332776e-10,9.340230138756776e-10,5.6066701226784685e-09,AAPL
SHAR,4.447670549302126e-05,1.8440207101962942e-05,0.5210767598056524,0.14294545551614404,16.909122621709855,0.00021292697086039425,0.14841740490861455,6.635792531629745e-10,8.371325315225543e-10,5.686011658807694e-09,AAPL
HARQ,4.9327819588736624e-05,1.5300674636670237e-05,0.4957117867011057,0.12262693268161425,19.36385702238406,6.24010465439806e-05,0.15943673954691817,5.512192753399899e-10,1.101713111656495e-09,5.612435630379149e-09,AAPL
HAR-X,6.737962103575365e-05,1.0538172019897661e-05,0.396373194618131,0.09733008318759188,43.17979237353043,4.203656311929649e-10,0.13413632237175943,1.9932791862580838e-10,2.077092536053209e-09,5.781366357545098e-09,AAPL
RR,6.433227688433122e-05,1.1068522903680848e-05,0.423772290905922,0.10355366842081755,34.9760115444102,2.5412979942629477e-08,0.140081617536573,1.5825631913204243e-10,1.7293594903817016e-09,5.741669658931199e-09,AAPL
LA,3.628762483976382e-05,1.976840962979924e-05,0.5904283668485989,0.15443830159200142,11.990888784385564,0.0024900701600071296,0.14470014910839046,5.01922603337954e-10,4.649168193931139e-10,5.7108317525257645e-09,AAPL
EN,3.670524353601154e-05,1.9646064642474277e-05,0.5883566294576089,0.15375307113539183,11.91707743498229,0.0025836847081115444,0.14468493085375622,4.927695234345514e-10,4.728955406997594e-10,5.710933364716733e-09,AAPL
P-LA,5.221640604848127e-05,1.5414801590162016e-05,0.5111293922577723,0.12985689952864293,14.201726375744272,0.0008243930100045871,0.14410032487551416,1.8149004991649819e-10,8.801811676006665e-10,5.714836775175394e-09,AAPL
A-LA,0.00012089548461170276,431.17757227002124,2.4255801486818076e-08,2171133.5578544666,84.10583922375872,0.0,0.0,6.35830502303199e-09,6.348880972793652e-39,6.676993742688594e-09,AAPL
BG,8.202972304983743e-05,1.009539416742511e-05,0.27592158127879945,0.07284893764308482,100.49479630773094,0.0,0.08181033695344653,3.9850245325194226e-10,3.761742095046681e-09,6.130746634763187e-09,AAPL
RF,6.946691595996947e-05,1.0952649721612885e-05,0.36841247407581035,0.08725721922895477,53.210751241309914,2.7888802378583932e-12,0.09888583537507867,3.496751655066356e-10,1.940499301727289e-09,6.01673363864866e-09,AAPL
GB,4.4546035775101065e-05,2.1014981242984993e-05,0.5331924460782783,0.15818439695459927,13.330680895908174,0.00127432271178618,0.11549342993949985,4.971812982466566e-10,5.910796710916647e-10,5.905844833660912e-09,AAPL
NN1_ensemble,4.0266863366200943e-05,1.6307809619104348e-05,0.5829025424837478,0.1424017245541052,9.389422526571344,0.009143507052968625,0.1681502736416587,3.037060281299672e-10,5.748595273880869e-10,5.554255417751864e-09,AAPL
NN1_top1,4.632097964805672e-05,1.6320612436914926e-05,0.5515927089951576,0.147496590531166,9.257549920098255,0.009766716394539299,0.16249772399339768,2.0457626365461603e-10,7.170287157154632e-10,5.59199745638354e-09,AAPL
NN2_ensemble,3.982053742414426e-05,1.6852311592503753e-05,0.5919685717193084,0.14572901378205677,8.508670236346086,0.014202530611532649,0.15862136184832942,2.580107786495485e-10,5.031906633691291e-10,5.617879902170554e-09,AAPL
NN2_top1,5.720067140337035e-05,2.2862966046651778e-05,0.422962216761355,0.16699934274267317,18.796355020259156,8.287496679437734e-05,0.08624340467959246,8.818956459401572e-10,1.0717962094534373e-09,6.101147069294796e-09,AAPL
NN3_ensemble,4.6313832703939095e-05,1.4725911938611221e-05,0.5654624607553572,0.13364950257421593,10.695284126411494,0.004759360049279793,0.16598723658264913,1.209886681089781e-10,6.544895363293511e-10,5.5686980026600745e-09,AAPL
NN3_top1,6.212665042755396e-05,1.9810330196583006e-05,0.4351413060622768,0.17311257326681143,10.649376846350394,0.004869868115915388,0.13174809029791468,2.0054575572738883e-10,1.482327996752671e-09,5.797312568158246e-09,AAPL
NN4_ensemble,4.023999237379524e-05,1.62605565332817e-05,0.598827052585569,0.14336819500406298,8.016658683111476,0.01816371526683147,0.15588045536189188,1.9026462808366783e-10,4.671249775098154e-10,5.636180917629793e-09,AAPL
NN4_top1,5.420332271714092e-05,1.5583078665061976e-05,0.3912028772170011,0.09087924058406802,71.41662636140114,3.3306690738754696e-16,0.07954532371765421,2.45859839815325e-09,1.2862835773035443e-09,6.145870113965679e-09,AAPL
HAR,7.311260188566205e-05,1.834026357160855e-05,0.5693804337619404,0.09227116843346367,22.377695578766684,1.3827547092337689e-05,0.1795813112799689,4.1152548438678777e-10,9.98708786572214e-10,7.976839187021405e-09,AMZN
LogHAR,7.608931304499017e-05,1.543348884878415e-05,0.55215227747909,0.0840195068788146,28.451316739574345,6.635521619946516e-07,0.2023112987066119,4.692624042908302e-10,1.2940719815357034e-09,7.755838060501209e-09,AMZN
LevHAR,7.76115053328664e-05,1.697256017378211e-05,0.5603876381655897,0.09349866173347679,22.437910624316576,1.3417438557872252e-05,0.20783138460400252,2.4769990182751846e-10,1.2435668100115447e-09,7.70216688247048e-09,AMZN
SHAR,7.352068584910073e-05,1.8402038743998045e-05,0.5676508773042319,0.09375595876986696,21.717899523676135,1.9231716094969542e-05,0.18189339934288207,4.091735076813621e-10,1.0259324548041334e-09,7.954359013278821e-09,AMZN
HARQ,8.02228700690702e-05,1.5372214819175257e-05,0.5323162450159502,0.08202627247643882,32.53240225197141,8.62340154839103e-08,0.19235235981321808,4.85354967816351e-10,1.4436367876535237e-09,7.852667709945099e-09,AMZN
HAR-X,0.00011099932703802574,1.4252718769503878e-05,0.4434757797672086,0.08807084434674442,61.677998187108166,4.04121180963557e-14,0.1620559249086977,1.2731926848133538e-11,2.481352894401496e-09,8.14723655935839e-09,AMZN
RR,0.00011690978563584086,1.3002552505220662e-05,0.4324352944792531,0.08452816266751653,83.89883531715277,0.0,0.16696027945578873,1.5147568240419134e-10,2.796384912926064e-09,8.099552068407412e-09,AMZN
LA,9.324955581051818e-05,1.625664202295015e-05,0.5289075992473201,0.09522532246823502,33.18488801186258,6.222904369579396e-08,0.17685118482595352,1.4151163534889982e-12,1.364130279768247e-09,8.003383901303684e-09,AMZN
EN,0.00011413791075007477,1.3375510211851102e-05,0.44417178921467604,0.0861618526167039,75.75420308871713,0.0,0.1687674620406865,1.1961403861645543e-10,2.569586482123021e-09,8.081981034178777e-09,AMZN
P-LA,0.0001179975341803569,1.3753354433259313e-05,0.41720262338633857,0.08572706366584855,74.68566367859296,1.1102230246251565e-16,0.14567019783575053,6.700609209072266e-11,2.7638032113456495e-09,8.306553151752505e-09,AMZN
A-LA,0.0001966076470408269,,4.983351366200841e-08,,85.56135553208969,0.0,-2.220446049250313e-16,3.2329632912340893e-09,9.918090682630503e-39,9.72288819927591e-09,AMZN
BG,0.00011569956510976762,1.1232387006149917e-05,0.3747670650162093,0.061543840267760684,116.58097539376212,0.0,0.1840808918135579,3.7177087334253604e-10,4.9815542071873555e-09,7.933090268549681e-09,AMZN
RF,0.000103743644101215,1.2296669049781894e-05,0.436778577498841,0.07014681607705026,73.8354148207663,1.1102230246251565e-16,0.2003994426792789,2.561131619255736e-10,3.2398691647680567e-09,7.774426822908082e-09,AMZN
GB,0.00010765041097351108,1.2280005432175413e-05,0.44095460848972495,0.07283913502256467,77.1862937438591,0.0,0.19074432469294045,2.6319179357336358e-11,2.980940370992647e-09,7.868302455640066e-09,AMZN
NN1_ensemble,0.00010666523888912987,1.4922334468897854e-05,0.482205744916442,0.09009376707186147,52.26203260408479,4.481748305806832e-12,0.1776513290030276,1.0170209135810392e-10,1.9916519582861954e-09,7.99560418892669e-09,AMZN
NN1_top1,0.00011129078010839028,1.2736817821342776e-05,0.40354880719098424,0.07075859552071792,80.17837720350022,0.0,0.17423476528407322,2.19301984376688e-10,3.7007333473179257e-09,8.028823055991786e-09,AMZN
NN2_ensemble,0.00010157866788688543,1.419790409988859e-05,0.4937142071722819,0.0882608370443025,53.086090465430495,2.9682922786378185e-12,0.20914935494412468,1.7056286976874472e-11,2.138415300512388e-09,7.68935240420351e-09,AMZN
NN2_top1,0.0001325458255474838,1.167319222374671e-05,0.3750444912856908,0.07885210919398546,131.93875509281204,0.0,0.16431857612184497,6.654525836238792e-10,4.436235310058711e-09,8.125237054579002e-09,AMZN
NN3_ensemble,0.00011407745453239446,1.2178023472459298e-05,0.4409745333727268,0.07652735297572787,88.41516580047751,0.0,0.1975846483846242,8.936922351408963e-11,3.087341404466602e-09,7.801794753138968e-09,AMZN
NN3_top1,0.00012917836439518612,1.2275999923358611e-05,0.36432690021477143,0.0697731593760174,112.66386382775596,0.0,0.16991382027032365,1.3290765778034518e-10,5.029319034776557e-09,8.070835121275693e-09,AMZN
NN4_ensemble,0.00011979810654022497,1.2007598976747454e-05,0.4290758535918076,0.07387885624094154,99.63720929441332,0.0,0.180886593805618,3.096214751847322e-10,3.113797352316606e-09,7.964148070956051e-09,AMZN
NN4_top1,0.00013608462841200892,8.95858094915324e-06,0.34003293273459245,0.0466083707140343,279.0010194296103,0.0,0.17520937205214204,3.4655488450026576e-10,6.417342102764431e-09,8.019347063347594e-09,AMZN
HAR,5.845883022042245e-05,9.322249617159111e-06,0.34921153159222185,0.06281680821717163,151.63843664544333,0.0,0.14132468854603575,6.119979355340408e-10,1.3089362269956972e-09,2.2899546520243047e-09,JPM
LogHAR,4.6549133038040136e-05,8.419247104804624e-06,0.4832865451378856,0.06754816037925587,64.42851906714621,1.021405182655144e-14,0.18219382907424087,1.936453761658683e-10,5.554202391740898e-10,2.180962956061452e-09,JPM
LevHAR,6.594259525587889e-05,8.852569083637676e-06,0.30395272709897037,0.05974287190780873,169.4159392171341,0.0,0.13361324684054443,3.668273127710611e-10,1.8685847810645752e-09,2.3105198779854458e-09,JPM
SHAR,6.062693868612405e-05,9.46751915293821e-06,0.33244920593251776,0.0659860887344492,132.70755796042414,0.0,0.11571993141776749,6.082537528109214e-10,1.244297152190754e-09,2.358238591154391e-09,JPM
HARQ,7.568362907769986e-05,6.770487021201015e-06,0.23310989791160863,0.04417206722825268,316.17561421741453,0.0,0.13196110873992184,2.1080552771024357e-10,3.808804647619061e-09,2.314925875548018e-09,JPM
HAR-X,6.997932693049411e-05,6.07801109839075e-06,0.29648548899615207,0.04901741690697931,207.01080555550536,0.0,0.19970483121939597,7.424508977241484e-11,2.9986495430735585e-09,2.1342638134530467e-09,JPM
RR,6.866895170711589e-05,6.059956827014882e-06,0.3076326185729336,0.04914760011298091,199.38776970380016,0.0,0.2029489159048048,7.79326506942715e-11,2.7415304621731694e-09,2.1256123398193935e-09,JPM
LA,1.6327848260323624e-05,1.5898263871543298e-05,0.5883875221327527,0.1035711956272356,137.34828088002232,0.0,0.16279264501897928,1.9692426523844177e-09,2.1246277063143826e-10,2.232702922367107e-09,JPM
EN,9.38363750111388e-06,1.8232740796964232e-05,0.6178890280719029,0.11605442625815092,153.64923478793273,0.0,0.15124887846403012,2.3593653508314655e-09,1.542581498624463e-10,2.263488367775602e-09,JPM
P-LA,5.852369864918556e-05,9.517759520159221e-06,0.3537914052499961,0.06533145844010688,136.8603618267519,0.0,0.1413254285230897,5.244247819846866e-10,1.2573874466073348e-09,2.289952678619603e-09,JPM
A-LA,0.00010310236383416045,,1.943075032904612e-08,,-69.41532743921445,1.0,0.0,7.286055970707229e-09,1.4269785643261485e-39,2.666845804785987e-09,JPM
BG,7.119427049618998e-05,7.914976901391492e-06,0.2503296567372594,0.057305131711749974,180.60577587184255,0.0,0.09221271674465592,5.935042486661067e-10,2.205488393598506e-09,2.420928707987582e-09,JPM
RF,5.340540128528748e-05,8.029419461548658e-06,0.40059781116322574,0.061562847277036044,104.64320258708392,0.0,0.16353034365962826,4.39096994902703e-10,9.763729978537229e-10,2.2307355938420956e-09,JPM
GB,2.8448444354240736e-05,1.509380365297055e-05,0.6350641203642002,0.1306691718221908,16.38752660218889,0.00027637185423257105,0.17927398474523204,2.0883127434908512e-10,1.5787492325140412e-10,2.188749730660897e-09,JPM
NN1_ensemble,4.7620582167450045e-05,8.122995828976195e-06,0.4596827916840084,0.06756266064657324,70.65602082643905,4.440892098500626e-16,0.22695517230485207,3.0952909997766714e-10,8.362172016004345e-10,2.061591355650311e-09,JPM
NN1_top1,4.1823248649135586e-05,1.1465187788659395e-05,0.4902664321387247,0.0972843913385294,41.54394968722761,9.52458223402175e-10,0.22645109211220593,4.791325228874075e-10,6.528215416901014e-10,2.062935659797345e-09,JPM
NN2_ensemble,4.209435587450007e-05,8.95320813049115e-06,0.5135575323389809,0.07679931515869891,45.573883168472435,1.2698631035590324e-10,0.22962265580972352,2.462553272367641e-10,5.494110634843867e-10,2.0544775884560086e-09,JPM
NN2_top1,4.7813822496529324e-05,8.238844819253216e-06,0.47756004252371614,0.07029946796826471,57.466672241200655,3.320677066653843e-13,0.2089944051509096,1.605441955786423e-10,6.670361518568685e-10,2.10948995218554e-09,JPM
NN3_ensemble,3.779166805909932e-05,1.0057904204734946e-05,0.529323420273411,0.08075747068837598,49.797593630916516,1.5367040973046642e-11,0.20332118005390798,4.1139508476340264e-10,4.287296161343838e-10,2.1246195687350853e-09,JPM
NN3_top1,6.114442448615927e-05,8.85523347426558e-06,0.35172180172036793,0.07123955396077483,87.17023570999729,0.0,0.14619732306031807,2.621360392867499e-10,1.3245293337366301e-09,2.276960087111635e-09,JPM
NN4_ensemble,-1.299903233272661e-07,1.6871662102611224e-05,0.7505683736074097,0.12325427249322542,73.71296240663109,1.1102230246251565e-16,0.20807646324064422,1.1858756278203522e-09,6.128347432187904e-11,2.1119379617179686e-09,JPM
NN4_top1,5.6263231523023314e-05,1.0042862279277894e-05,0.4151234828980831,0.08869546419394071,44.28482520194438,2.4192037262338317e-10,0.14452693090966928,9.466214631996031e-11,7.651039651235549e-10,2.2814147654109408e-09,JPM
