ticker,horizon,model,MSE_RV,MSE_RK,ratio_RK_over_RV
AAPL,1,HAR,9.741870959485134e-09,1.037783849944523e-08,1.065281868606655
AAPL,1,LogHAR,9.251285608230716e-09,9.686483452879231e-09,1.0470418775376826
AAPL,5,HAR,7.047844100771987e-09,7.2082263881225145e-09,1.0227562194988054
AAPL,5,LogHAR,5.957800997412814e-09,6.069831406248378e-09,1.018803986384274
AAPL,22,HAR,5.140350802951614e-09,5.403651720440342e-09,1.051222363527707
AAPL,22,LogHAR,3.5592461607328013e-09,3.536476383891343e-09,0.9936026406117496
AMZN,1,HAR,1.5467376160657404e-08,1.3062798658483959e-08,0.844538758403659
AMZN,1,LogHAR,1.554441589236309e-08,1.3149547060893456e-08,0.8459338164873584
AMZN,5,HAR,9.18772165118113e-09,8.63097758935497e-09,0.9394034687854755
AMZN,5,LogHAR,9.36949013554305e-09,8.861013718239541e-09,0.9457306203488481
AMZN,22,HAR,4.58995286314823e-09,4.680073120881111e-09,1.0196342447122797
AMZN,22,LogHAR,5.924978934534448e-09,6.057100082081617e-09,1.0222990071369005
JPM,1,HAR,6.579217029622504e-09,4.794743179245283e-09,0.7287710920094684
JPM,1,LogHAR,6.014013035472482e-09,4.379278563335179e-09,0.728179093976827
JPM,5,HAR,4.334954811271763e-09,3.6994285926525193e-09,0.8533949611269889
JPM,5,LogHAR,2.970637702837777e-09,2.5558641522441596e-09,0.8603755852834579
JPM,22,HAR,4.7460145383802734e-09,5.093507230567771e-09,1.0732177892371335
JPM,22,LogHAR,2.9765949065718026e-09,3.104038924542628e-09,1.042815371916901
