horizon,ticker,model,ratio_vs_HAR
1,AAPL,A-LA,2.258027358370498
1,AAPL,BG,1.0223571267462095
1,AAPL,EN,1.5449430102318915
1,AAPL,GB,0.946471190027028
1,AAPL,HAR,1.0
1,AAPL,HAR-X,2.3404567188086363
1,AAPL,HARQ,0.9727375158823716
1,AAPL,LA,0.9897053872142234
1,AAPL,LevHAR,1.0354325302409926
1,AAPL,LogHAR,0.9523124564851568
1,AAPL,NN1_ensemble,1.3845344525135492
1,AAPL,NN1_top1,1.545324832052111
1,AAPL,NN2_ensemble,1.3852208740753398
1,AAPL,NN2_top1,1.321024619103725
1,AAPL,NN3_ensemble,1.0979046946196052
1,AAPL,NN3_top1,2.568580200788582
1,AAPL,NN4_ensemble,0.9851042915540477
1,AAPL,NN4_top1,1.1307563093726662
1,AAPL,P-LA,0.9341462627454233
1,AAPL,RF,0.9990227427402187
1,AAPL,RR,2.17288339450939
1,AAPL,SHAR,1.0012441676552464
1,AMZN,A-LA,1.6996834497254236
1,AMZN,BG,1.0964097794449055
1,AMZN,EN,4.411924473855161
1,AMZN,GB,2.268527955971344
1,AMZN,HAR,1.0
1,AMZN,HAR-X,3.916144517885971
1,AMZN,HARQ,1.0037007959749873
1,AMZN,LA,1.8499882935814755
1,AMZN,LevHAR,1.0596374735797909
1,AMZN,LogHAR,1.0034417391899195
1,AMZN,NN1_ensemble,1.0266675101096954
1,AMZN,NN1_top1,1.040768860233546
1,AMZN,NN2_ensemble,1.1125485566489866
1,AMZN,NN2_top1,2.5128845920757317
1,AMZN,NN3_ensemble,1.081959218663009
1,AMZN,NN3_top1,1.6582358368462813
1,AMZN,NN4_ensemble,1.2239102266312487
1,AMZN,NN4_top1,2.140464890662718
1,AMZN,P-LA,4.000525182357705
1,AMZN,RF,1.0208435651412713
1,AMZN,RR,4.0877164040156
1,AMZN,SHAR,0.9876237097737053
1,JPM,A-LA,2.2029318329325216
1,JPM,BG,0.9601475958115333
1,JPM,EN,1.0105192472943907
1,JPM,GB,0.887228014503698
1,JPM,HAR,1.0
1,JPM,HAR-X,2.543886813257664
1,JPM,HARQ,1.3242941398916188
1,JPM,LA,1.0048885207839777
1,JPM,LevHAR,1.0804795882255376
1,JPM,LogHAR,0.9309003907103808
1,JPM,NN1_ensemble,1.1833832546310952
1,JPM,NN1_top1,1.2608627885205308
1,JPM,NN2_ensemble,1.0155445624220367
1,JPM,NN2_top1,2.54932446285589
1,JPM,NN3_ensemble,0.9880044097341976
1,JPM,NN3_top1,1.3427626632805032
1,JPM,NN4_ensemble,0.9517326665055307
1,JPM,NN4_top1,1.1615665563881674
1,JPM,P-LA,0.975963121509705
1,JPM,RF,0.953798093753874
1,JPM,RR,2.375060075736218
1,JPM,SHAR,1.531239383489949
5,AAPL,A-LA,2.121920226910349
5,AAPL,BG,1.1460326221689143
5,AAPL,EN,0.9855851967155645
5,AAPL,GB,1.0170007038133784
5,AAPL,HAR,1.0
5,AAPL,HAR-X,1.5819013972762166
5,AAPL,HARQ,0.9683452115828522
5,AAPL,LA,0.98766965839088
5,AAPL,LevHAR,0.9553903570219872
5,AAPL,LogHAR,0.9149460927955434
5,AAPL,NN1_ensemble,1.1241331734349098
5,AAPL,NN1_top1,1.229601073998076
5,AAPL,NN2_ensemble,1.0008738688197987
5,AAPL,NN2_top1,1.5548622677049104
5,AAPL,NN3_ensemble,0.9543026014472705
5,AAPL,NN3_top1,1.187079671941852
5,AAPL,NN4_ensemble,0.9566117879482918
5,AAPL,NN4_top1,1.4867842744388877
5,AAPL,P-LA,0.9353194823761734
5,AAPL,RF,1.109751532956129
5,AAPL,RR,1.5019827800445495
5,AAPL,SHAR,1.00338372459805
5,AMZN,A-LA,1.6850360261933635
5,AMZN,BG,1.3454610480657836
5,AMZN,EN,3.0242236542341026
5,AMZN,GB,1.1432963026120622
5,AMZN,HAR,1.0
5,AMZN,HAR-X,2.5912380359056284
5,AMZN,HARQ,1.0369180480870621
5,AMZN,LA,1.5709717211271361
5,AMZN,LevHAR,0.970800899999009
5,AMZN,LogHAR,1.0310301038398022
5,AMZN,NN1_ensemble,1.1925701488497702
5,AMZN,NN1_top1,1.3483982605205456
5,AMZN,NN2_ensemble,1.1703865536159472
5,AMZN,NN2_top1,2.5729974601171826
5,AMZN,NN3_ensemble,1.2936068079417034
5,AMZN,NN3_top1,2.0472322992030514
5,AMZN,NN4_ensemble,1.4977953203861571
5,AMZN,NN4_top1,2.4627867570239896
5,AMZN,P-LA,3.0512087976362126
5,AMZN,RF,1.2159205281803336
5,AMZN,RR,3.401997089474977
5,AMZN,SHAR,0.9971159891660442
5,JPM,A-LA,2.4165241584998274
5,JPM,BG,1.1701311385386852
5,JPM,EN,1.432631703432224
5,JPM,GB,0.8594998522423097
5,JPM,HAR,1.0
5,JPM,HAR-X,2.0093020746027523
5,JPM,HARQ,1.2749586500614236
5,JPM,LA,1.324891568010666
5,JPM,LevHAR,1.0850817242702226
5,JPM,LogHAR,0.8780119428463437
5,JPM,NN1_ensemble,0.9873595638262249
5,JPM,NN1_top1,0.9801093839158492
5,JPM,NN2_ensemble,0.8845900073533834
5,JPM,NN2_top1,0.9904370312080422
5,JPM,NN3_ensemble,0.9321224103310368
5,JPM,NN3_top1,1.1483798671526275
5,JPM,NN4_ensemble,1.1205621237378134
5,JPM,NN4_top1,1.0114108208204395
5,JPM,P-LA,0.9733924206815824
5,JPM,RF,0.9884756023307532
5,JPM,RR,1.8820545019651553
5,JPM,SHAR,1.0500052933627637
22,AAPL,A-LA,1.5415712829466097
22,AAPL,BG,1.549144932393727
22,AAPL,EN,1.0820155723146812
22,AAPL,GB,1.0269644324237517
22,AAPL,HAR,1.0
22,AAPL,HAR-X,1.172789822461407
22,AAPL,HARQ,0.9574956000754692
22,AAPL,LA,1.0709537786944594
22,AAPL,LevHAR,0.8327546720212458
22,AAPL,LogHAR,0.6954561428163989
22,AAPL,NN1_ensemble,1.0467639233464534
22,AAPL,NN1_top1,1.1271806452816455
22,AAPL,NN2_ensemble,0.9814264362396641
22,AAPL,NN2_top1,0.9445895997409469
22,AAPL,NN3_ensemble,0.9395795263020698
22,AAPL,NN3_top1,1.1843714430135288
22,AAPL,NN4_ensemble,0.8245867538524501
22,AAPL,NN4_top1,1.14926434195021
22,AAPL,P-LA,0.9178519992785423
22,AAPL,RF,1.3774612235435735
22,AAPL,RR,1.0645540896635393
22,AAPL,SHAR,1.0016440461736982
22,AMZN,A-LA,1.5199860143046438
22,AMZN,BG,2.4126761704321233
22,AMZN,EN,1.8237427848253502
22,AMZN,GB,1.7145347437682579
22,AMZN,HAR,1.0
22,AMZN,HAR-X,1.7202876332793713
22,AMZN,HARQ,1.0609165863240668
22,AMZN,LA,1.307994396781676
22,AMZN,LevHAR,0.9141505822753807
22,AMZN,LogHAR,1.067947017170758
22,AMZN,NN1_ensemble,1.7052591593594746
22,AMZN,NN1_top1,1.6973229390153843
22,AMZN,NN2_ensemble,1.1400207943431746
22,AMZN,NN2_top1,1.5632992249625939
22,AMZN,NN3_ensemble,1.0764486150203105
22,AMZN,NN3_top1,1.629193688999895
22,AMZN,NN4_ensemble,1.1206537546969713
22,AMZN,NN4_top1,1.2884232814890482
22,AMZN,P-LA,1.9020960968152991
22,AMZN,RF,1.7576614485485755
22,AMZN,RR,1.9189085229322767
22,AMZN,SHAR,0.9964065019798751
22,JPM,A-LA,1.5893248523281251
22,JPM,BG,1.4645755150344795
22,JPM,EN,1.1094507652994872
22,JPM,GB,1.3223968799911698
22,JPM,HAR,1.0
22,JPM,HAR-X,1.1465507516609823
22,JPM,HARQ,0.8694443970601349
22,JPM,LA,1.0737642946000998
22,JPM,LevHAR,0.833182410624015
22,JPM,LogHAR,0.6303372506123044
22,JPM,NN1_ensemble,0.832990056906968
22,JPM,NN1_top1,0.9167865597561874
22,JPM,NN2_ensemble,0.8702315191738
22,JPM,NN2_top1,1.1291306707886117
22,JPM,NN3_ensemble,0.8049616936798837
22,JPM,NN3_top1,0.853799241624139
22,JPM,NN4_ensemble,1.3435266142817692
22,JPM,NN4_top1,1.8797708617849551
22,JPM,P-LA,0.6384937053190191
22,JPM,RF,1.27728090177788
22,JPM,RR,1.1582301254745215
22,JPM,SHAR,1.0044685044806057
