param,HAR,HAR_tstat,HAR-X,HAR-X_tstat
intercept,3.568969720379251e-05,,-0.00011105971496966021,
RVD,0.3341312682159591,4.450692974102141,0.26078367240204325,8.25795784549943e-09
RVW,0.46739099558289915,3.9814551298932392,0.37580358914289885,7.179406932054265e-09
RVM,0.018257686254082754,0.28875897925754807,-0.20749528223260394,-6.146295037818722e-09
IV,,,7.010556087065795e-06,2.975308636246258e-17
EA,,,0.00013305323487621716,1.1274490086583528
M1W,,,-0.00023396636976268074,-0.05580107674199386
DVOL,,,3.52518702258878e-05,0.6702789190163908
VIX,,,7.010556129545703e-06,1.134951823046112e-17
EPU,,,-2.9584863985998925e-07,
HSI,,,-0.031027612384764328,-1.6108279447218432
ADS,,,-3.224692682934541e-06,-0.9313085410790395
US3M,,,-0.000153193451579418,-0.822471645962851
