stock,horizon,model,fixed_ratio,rolling_ratio
AAPL,1,BG,1.167,1.14
AAPL,1,GB,1.002,1.034
AAPL,1,RF,1.069,1.054
AAPL,5,BG,1.442,1.13
AAPL,5,GB,0.98,0.964
AAPL,5,RF,1.164,0.936
AAPL,22,BG,7.314,2.56
AAPL,22,GB,2.677,1.568
AAPL,22,RF,3.038,1.548
AMZN,1,BG,1.14,0.989
AMZN,1,GB,0.978,0.957
AMZN,1,RF,0.963,0.893
AMZN,5,BG,1.415,1.126
AMZN,5,GB,1.159,1.098
AMZN,5,RF,1.201,1.033
AMZN,22,BG,6.719,2.978
AMZN,22,GB,4.069,2.636
AMZN,22,RF,3.885,2.098
JPM,1,BG,1.054,0.995
JPM,1,GB,0.955,0.946
JPM,1,RF,0.952,0.94
JPM,5,BG,1.24,0.867
JPM,5,GB,0.607,0.58
JPM,5,RF,0.866,0.681
JPM,22,BG,13.835,4.558
JPM,22,GB,1.625,1.289
JPM,22,RF,5.274,2.526
