feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.11967880836401504,0.07933713950142472,RF,AAPL,5
RVW,0.09149267429372582,0.0993474942501309,RF,AAPL,5
RVM,0.07496539059580838,0.03111359486491714,RF,AAPL,5
RVD_pos,0.04321610502100439,0.04491568387385526,RF,AAPL,5
RVD_neg,0.08044726977573276,0.09514602998714511,RF,AAPL,5
Rn_D,0.01868197911498027,0.0180594942364784,RF,AAPL,5
Rn_W,0.03711599428657545,0.03762226519728918,RF,AAPL,5
Rn_M,0.041226052374294185,0.03361382369090163,RF,AAPL,5
RQ_x_RV,0.01592710899350973,0.00012677898858992474,RF,AAPL,5
RQ_lag,0.004277386106539193,0.0012779945272887244,RF,AAPL,5
IV,0.13878472882720636,0.1384382131411507,RF,AAPL,5
M1W,0.029300588575220936,0.042933266327380606,RF,AAPL,5
VIX,0.1612198714034187,0.14470367269483744,RF,AAPL,5
EPU,0.015064722620737587,0.023915732924474496,RF,AAPL,5
HSI,0.01907882171111009,0.02298423818538001,RF,AAPL,5
ADS,0.0691804055278494,0.13576617967918694,RF,AAPL,5
US3M,0.02030369976920515,0.029235274242449965,RF,AAPL,5
EA,0.007520768664233943,0.0,RF,AAPL,5
DVOL,0.012517623974832645,0.0214631236871188,RF,AAPL,5
RVD,0.11273083785440215,0.10412568294883169,GB,AAPL,5
RVW,0.1650801387683561,0.028908636139854768,GB,AAPL,5
RVM,0.05862815909655127,0.02500344478147623,GB,AAPL,5
RVD_pos,0.024323113131460985,0.009865923335768113,GB,AAPL,5
RVD_neg,0.015233675121936623,0.025287263308383805,GB,AAPL,5
Rn_D,0.02740253712316693,0.0074506734043514634,GB,AAPL,5
Rn_W,0.04915643092008981,0.06246238387470891,GB,AAPL,5
Rn_M,0.05985408519661941,0.04176959089345013,GB,AAPL,5
RQ_x_RV,0.00043322917344554204,0.0,GB,AAPL,5
RQ_lag,0.0025554572528786765,0.0,GB,AAPL,5
IV,0.08290524555951065,0.10977487964897548,GB,AAPL,5
M1W,0.04830161540493351,0.09103531040919952,GB,AAPL,5
VIX,0.12328485609945028,0.12114762620404279,GB,AAPL,5
EPU,0.026795809157196104,0.03575611881980952,GB,AAPL,5
HSI,0.031217891626704814,0.049900374971747805,GB,AAPL,5
ADS,0.14153793661207692,0.26182577280331354,GB,AAPL,5
US3M,0.0070984374940187035,0.006410942613598658,GB,AAPL,5
EA,0.007866996067547294,0.0,GB,AAPL,5
DVOL,0.015593548339654097,0.019275375842487553,GB,AAPL,5
