feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.14504596901371625,0.15090737822547817,RF,AMZN,5
RVW,0.14510154362164346,0.14028444144106447,RF,AMZN,5
RVM,0.0637607896087628,0.05172374762993339,RF,AMZN,5
RVD_pos,0.05845837073939052,0.04177642633924359,RF,AMZN,5
RVD_neg,0.12551555831790068,0.11555500862909317,RF,AMZN,5
Rn_D,0.02982269666864404,0.02534418753832806,RF,AMZN,5
Rn_W,0.01998351049112725,0.025442040460873692,RF,AMZN,5
Rn_M,0.03983180693741834,0.052492659516708264,RF,AMZN,5
RQ_x_RV,0.006977309398497762,0.024149933066774633,RF,AMZN,5
RQ_lag,0.004867984071778257,0.03734426237651872,RF,AMZN,5
IV,0.09708655159402972,0.0783218156100387,RF,AMZN,5
M1W,0.03307034596498048,0.0513055335241864,RF,AMZN,5
VIX,0.09925305212523297,0.07087678051549975,RF,AMZN,5
EPU,0.023787669486525026,0.018079052075381123,RF,AMZN,5
HSI,0.01408536653518487,0.018525252416394685,RF,AMZN,5
ADS,0.04728302286503062,0.024991211970499447,RF,AMZN,5
US3M,0.026823330578615665,0.062172573608213086,RF,AMZN,5
EA,0.003256946656395791,0.0,RF,AMZN,5
DVOL,0.01598817532512548,0.010707695055770544,RF,AMZN,5
RVD,0.10697285046670195,0.1459618452384384,GB,AMZN,5
RVW,0.1907581574998023,0.14497071722394247,GB,AMZN,5
RVM,0.04532374392272928,0.04180318658211705,GB,AMZN,5
RVD_pos,0.021681455199215403,0.017385511565607744,GB,AMZN,5
RVD_neg,0.0645675127912072,0.0664442674551137,GB,AMZN,5
Rn_D,0.03869067805149474,0.017717496787983233,GB,AMZN,5
Rn_W,0.029397541422071842,0.02860154587208959,GB,AMZN,5
Rn_M,0.05126652447098129,0.07539375872564488,GB,AMZN,5
RQ_x_RV,0.0031338730744067283,0.009088648076827483,GB,AMZN,5
RQ_lag,0.0030183980996787564,0.043122333394647154,GB,AMZN,5
IV,0.11763118531813932,0.07514995123921313,GB,AMZN,5
M1W,0.04924913277877506,0.06413721283726484,GB,AMZN,5
VIX,0.07139040199473777,0.06316005565892908,GB,AMZN,5
EPU,0.04759579341341156,0.07091853351008952,GB,AMZN,5
HSI,0.031101428368579907,0.04474426375887192,GB,AMZN,5
ADS,0.07264724141449834,0.04146124222625185,GB,AMZN,5
US3M,0.03176972387218493,0.031704485562400374,GB,AMZN,5
EA,0.008665392786815067,0.0,GB,AMZN,5
DVOL,0.015138965054568486,0.018234944284567546,GB,AMZN,5
