feature,treeshap,ale_vi,model,ticker,horizon
RVD,0.07918862549678804,0.0867433240838639,RF,JPM,5
RVW,0.07811518375293489,0.04327806270812038,RF,JPM,5
RVM,0.046937177044446166,0.05514013647912751,RF,JPM,5
RVD_pos,0.04830464126136877,0.04206713026559182,RF,JPM,5
RVD_neg,0.0697068663403337,0.09195789108183659,RF,JPM,5
Rn_D,0.021970581903131562,0.02428718066200093,RF,JPM,5
Rn_W,0.018956879710468926,0.058309574421504494,RF,JPM,5
Rn_M,0.040629344133759,0.0460540453524059,RF,JPM,5
RQ_x_RV,0.026670391843034002,0.006651362343894979,RF,JPM,5
RQ_lag,0.019817915732247723,0.012720552697957575,RF,JPM,5
IV,0.1951736890130873,0.16693872678762914,RF,JPM,5
M1W,0.016246018909637623,0.03126273965741774,RF,JPM,5
VIX,0.18381271831640175,0.1396063416733369,RF,JPM,5
EPU,0.0217908028860583,0.01775212013211921,RF,JPM,5
HSI,0.014367072432021509,0.023596935452932687,RF,JPM,5
ADS,0.06580784952642026,0.04848438201998351,RF,JPM,5
US3M,0.03231320548200481,0.06174084486646982,RF,JPM,5
EA,0.00030249150347255255,0.0,RF,JPM,5
DVOL,0.019888544712383043,0.043408649313806946,RF,JPM,5
RVD,0.024344340770644096,0.03193035486598654,GB,JPM,5
RVW,0.12700299132114293,0.0506593315566332,GB,JPM,5
RVM,0.07421727050533561,0.035731593448915445,GB,JPM,5
RVD_pos,0.07417610823976079,0.027582888863919207,GB,JPM,5
RVD_neg,0.018778100004903948,0.024143429022085577,GB,JPM,5
Rn_D,0.04432443918669071,0.0053183592982822105,GB,JPM,5
Rn_W,0.0401005191472902,0.04948115830920374,GB,JPM,5
Rn_M,0.0672008233114594,0.048483541462075154,GB,JPM,5
RQ_x_RV,0.0012093110082093046,0.0,GB,JPM,5
RQ_lag,0.0022425086337304525,0.001371802546176909,GB,JPM,5
IV,0.1588462916541428,0.12222376079895267,GB,JPM,5
M1W,0.03662503729133551,0.017157794742619036,GB,JPM,5
VIX,0.16206441893047618,0.21939698977800018,GB,JPM,5
EPU,0.026616290999580856,0.12046754592974354,GB,JPM,5
HSI,0.013107059165741957,0.025028481172876177,GB,JPM,5
ADS,0.06216373114626019,0.10205893493256603,GB,JPM,5
US3M,0.03305961074691838,0.0681532884900719,GB,JPM,5
EA,0.0018280529954207807,0.0,GB,JPM,5
DVOL,0.0320930949409559,0.05081074478189247,GB,JPM,5
