stock,alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_p,christoffersen_p
AAPL,0.05,HAR,1240,62.0,121,0.09758064516129032,0.0017062182471095978,7.779887845060784e-12,3.5408342924370118e-12
AAPL,0.05,best-ML (NN2_ensemble),1240,62.0,157,0.12661290322580646,0.0020151187285296604,0.0,0.0
AAPL,0.01,HAR,1240,12.4,45,0.036290322580645164,0.0004973712029194255,6.531442053869796e-13,1.0990097720764425e-12
AAPL,0.01,best-ML (NN2_ensemble),1240,12.4,79,0.06370967741935483,0.0008613946823256508,0.0,0.0
AMZN,0.05,HAR,1240,62.0,79,0.06370967741935483,0.0017542525334985316,0.03326579145904751,0.10370756075666365
AMZN,0.05,best-ML (NN3_ensemble),1240,62.0,117,0.09435483870967742,0.00208834663591109,1.3685486077719133e-10,1.9927071104319793e-10
AMZN,0.01,HAR,1240,12.4,34,0.027419354838709678,0.0004987172910473479,3.8432914195585255e-07,1.5472906224056615e-06
AMZN,0.01,best-ML (NN3_ensemble),1240,12.4,81,0.06532258064516129,0.0009213665906380239,0.0,0.0
JPM,0.05,HAR,1240,62.0,86,0.06935483870967742,0.0014316916580234236,0.0030573225757732914,0.012443450873629192
JPM,0.05,best-ML (NN2_ensemble),1240,62.0,95,0.07661290322580645,0.0016103418047928228,6.286652357279099e-05,0.0002664839520507556
JPM,0.01,HAR,1240,12.4,35,0.028225806451612902,0.00047763746298141514,1.3080628269435124e-07,3.232915629647337e-07
JPM,0.01,best-ML (NN2_ensemble),1240,12.4,51,0.04112903225806452,0.0006650116066507467,1.1102230246251565e-16,3.3306690738754696e-16
