alpha,model,n,expected_hits,observed_hits,hit_rate,quantile_loss,kupiec_LR,kupiec_p,christoffersen_LR,christoffersen_p,ticker,horizon
0.05,HAR,442,22.1,19,0.042986425339366516,0.0011296764147758034,0.4795623717102444,0.4886206111381084,0.5207979675240892,0.770744010104067,AAPL,5
0.05,LogHAR,442,22.1,22,0.049773755656108594,0.0011175878290548506,0.00047698602656964795,0.9825755786120264,0.6770407297802024,0.7128242626533019,AAPL,5
0.05,LevHAR,442,22.1,18,0.04072398190045249,0.001118794298311582,0.8524930528635366,0.35584802063435506,2.384870606976193,0.3034812943522942,AAPL,5
0.05,SHAR,442,22.1,19,0.042986425339366516,0.0011296822661569122,0.4795623717102444,0.4886206111381084,0.5207979675240892,0.770744010104067,AAPL,5
0.05,HARQ,442,22.1,19,0.042986425339366516,0.0011297742668272541,0.4795623717102444,0.4886206111381084,2.191041352066975,0.33436546553258206,AAPL,5
0.05,HAR-X,442,22.1,25,0.05656108597285068,0.0011897217033270994,0.38498566384200217,0.534946997332626,0.5371603555233548,0.7644641273300053,AAPL,5
0.05,RR,442,22.1,26,0.058823529411764705,0.0011777450717009945,0.687319913052562,0.407077476327924,0.9225555232773672,0.6304775306025965,AAPL,5
0.05,LA,442,22.1,19,0.042986425339366516,0.0011400486868237457,0.4795623717102444,0.4886206111381084,0.5207979675240892,0.770744010104067,AAPL,5
0.05,EN,442,22.1,19,0.042986425339366516,0.0011400447825046962,0.4795623717102444,0.4886206111381084,0.5207979675240892,0.770744010104067,AAPL,5
0.05,P-LA,442,22.1,22,0.049773755656108594,0.0011430625408911281,0.00047698602656964795,0.9825755786120264,0.01034042028999238,0.994843132387007,AAPL,5
0.05,A-LA,442,22.1,8,0.01809954751131222,0.001196118217700915,12.410080414601381,0.00042702247789694336,12.705709244161454,0.0017417679435544065,AAPL,5
0.05,BG,442,22.1,20,0.04524886877828054,0.0011645011524238965,0.21667163712083948,0.6415877509336629,2.1176245599771732,0.34686754729477076,AAPL,5
0.05,RF,442,22.1,20,0.04524886877828054,0.0011640808446779696,0.21667163712083948,0.6415877509336629,2.1176245599771732,0.34686754729477076,AAPL,5
0.05,GB,442,22.1,19,0.042986425339366516,0.0011478373126786905,0.4795623717102444,0.4886206111381084,2.191041352066975,0.33436546553258206,AAPL,5
0.05,NN1_ensemble,442,22.1,18,0.04072398190045249,0.0011408882189921155,0.8524930528635366,0.35584802063435506,2.384870606976193,0.3034812943522942,AAPL,5
0.05,NN1_top1,442,22.1,20,0.04524886877828054,0.0011265052835386716,0.21667163712083948,0.6415877509336629,2.1176245599771732,0.34686754729477076,AAPL,5
0.05,NN2_ensemble,442,22.1,19,0.042986425339366516,0.0011409796365250953,0.4795623717102444,0.4886206111381084,2.191041352066975,0.33436546553258206,AAPL,5
0.05,NN2_top1,442,22.1,20,0.04524886877828054,0.0011692866624318913,0.21667163712083948,0.6415877509336629,2.1176245599771732,0.34686754729477076,AAPL,5
0.05,NN3_ensemble,442,22.1,21,0.04751131221719457,0.0011231428747838698,0.05856195184890112,0.8087834422468483,2.159437828022618,0.33969099460588503,AAPL,5
0.05,NN3_top1,442,22.1,21,0.04751131221719457,0.001153120435277115,0.05856195184890112,0.8087834422468483,2.159437828022618,0.33969099460588503,AAPL,5
0.05,NN4_ensemble,442,22.1,20,0.04524886877828054,0.0011377444971506928,0.21667163712083948,0.6415877509336629,2.1176245599771732,0.34686754729477076,AAPL,5
0.05,NN4_top1,442,22.1,15,0.033936651583710405,0.0011799988694604607,2.693559187214447,0.1007545308846074,3.093931544657039,0.2128929605255474,AAPL,5
0.01,HAR,442,4.42,3,0.006787330316742082,0.00028944897805898177,0.5194386506267961,0.47108123590959805,0.5605348623664881,0.7555816483396764,AAPL,5
0.01,LogHAR,442,4.42,5,0.011312217194570135,0.00028855858190308747,0.07375127704285944,0.7859512362839818,0.18843268987576067,0.9100858484745327,AAPL,5
0.01,LevHAR,442,4.42,6,0.013574660633484163,0.000286725942393233,0.5131491705198457,0.4737787728477496,0.6786716605662377,0.7122432160796899,AAPL,5
0.01,SHAR,442,4.42,3,0.006787330316742082,0.00028899895856387454,0.5194386506267961,0.47108123590959805,0.5605348623664881,0.7555816483396764,AAPL,5
0.01,HARQ,442,4.42,4,0.00904977375565611,0.0002905437299775818,0.04164031761281706,0.8383069297969109,0.11486788479567167,0.9441842588745855,AAPL,5
0.01,HAR-X,442,4.42,13,0.029411764705882353,0.000331428047231837,11.058396975547964,0.0008828644160540078,11.848238075109549,0.002674162484523568,AAPL,5
0.01,RR,442,4.42,11,0.024886877828054297,0.0003215223603496287,6.998067511765839,0.00815977573540061,7.5609196079494865,0.022812199873074923,AAPL,5
0.01,LA,442,4.42,4,0.00904977375565611,0.00029037515814509137,0.04164031761281706,0.8383069297969109,0.11486788479567167,0.9441842588745855,AAPL,5
0.01,EN,442,4.42,4,0.00904977375565611,0.0002904058557582694,0.04164031761281706,0.8383069297969109,0.11486788479567167,0.9441842588745855,AAPL,5
0.01,P-LA,442,4.42,9,0.020361990950226245,0.0002975485564276864,3.6876332824408706,0.05481734765903268,4.062660413887571,0.13116093387064398,AAPL,5
0.01,A-LA,442,4.42,2,0.004524886877828055,0.0003063217229438892,1.6813889434183196,0.1947399968073107,1.6996122410813612,0.42749780695825934,AAPL,5
0.01,BG,442,4.42,7,0.01583710407239819,0.00031712144491770095,1.2920281736239758,0.2556745202839177,1.517844416684639,0.4681707457099421,AAPL,5
0.01,RF,442,4.42,8,0.01809954751131222,0.00031771696929650195,2.3621990059923235,0.12430685235011818,2.6578278355523963,0.2647646613937372,AAPL,5
0.01,GB,442,4.42,4,0.00904977375565611,0.0002982197398970927,0.04164031761281706,0.8383069297969109,0.11486788479567167,0.9441842588745855,AAPL,5
0.01,NN1_ensemble,442,4.42,7,0.01583710407239819,0.00030587994571331105,1.2920281736239758,0.2556745202839177,1.517844416684639,0.4681707457099421,AAPL,5
0.01,NN1_top1,442,4.42,5,0.011312217194570135,0.00030545080023437884,0.07375127704285944,0.7859512362839818,0.18843268987576067,0.9100858484745327,AAPL,5
0.01,NN2_ensemble,442,4.42,10,0.02262443438914027,0.00030461499093658873,5.240368243294114,0.022068602215629562,5.704447009116194,0.05771584664815865,AAPL,5
0.01,NN2_top1,442,4.42,6,0.013574660633484163,0.0003137548200590307,0.5131491705198457,0.4737787728477496,0.6786716605662377,0.7122432160796899,AAPL,5
0.01,NN3_ensemble,442,4.42,7,0.01583710407239819,0.00030071163590351425,1.2920281736239758,0.2556745202839177,1.517844416684639,0.4681707457099421,AAPL,5
0.01,NN3_top1,442,4.42,11,0.024886877828054297,0.0003177405813422097,6.998067511765839,0.00815977573540061,7.5609196079494865,0.022812199873074923,AAPL,5
0.01,NN4_ensemble,442,4.42,8,0.01809954751131222,0.000302077750532966,2.3621990059923235,0.12430685235011818,2.6578278355523963,0.2647646613937372,AAPL,5
0.01,NN4_top1,442,4.42,3,0.006787330316742082,0.0002993850675974079,0.5194386506267961,0.47108123590959805,0.5605348623664881,0.7555816483396764,AAPL,5
